Oklahoma,Numbers,EPA Start,d,d,d,d
MAGELLAN PIPELINE CO LP,2014-1929-TVR3,7/21/15,9/3/15,9/4/15,11/2/15,"Magellan Pipeline Company, LLC has submitted an application for renewal of their current Part 70 o..."
,,,,,,
,,,,,,
MAGELLAN TERML HOLDINGS LP,2015-0953-TV,9/12/15,10/26/15,10/27/15,12/25/15,"Magellan Terminals Holdings, L.P. (MTH), has requested a major source operating permit for the faci..."
,,,,,,
,,,,,,
MAGELLAN TERML HOLDINGS LP,2015-1147-TV,10/23/15,12/6/15,12/7/15,2/4/16,"Magellan Terminals Holdings, L.P. (MTH), has requested a major source operating permit ."
,,,,,,
,,,,,,
"MarkWest Buffalo Creek Gas Company, L.L.C. - Buffalo Creek Processing Plant",2012-1026-C (M-,4/3/15,5/17/15,5/18/15,7/16/15,
"MarkWest Buffalo Creek Gas Company, L.L.C. - Buffalo Creek Processing Plant",2012-1026-TV,5/16/15,6/29/15,6/30/15,8/28/15,
MARKWEST OKLAHOMA GAS CO LLC,2008-346-TV M-2,4/15/11,5/29/11,,,
,,,,,,
,,,,,,
MARKWEST OKLAHOMA GAS CO LLC,2007-180-C M-2,4/20/11,6/3/11,,,
,,,,,,
,,,,,,
MARKWEST OKLAHOMA GAS CO LLC,2011-217-C,11/18/11,1/1/12,,,
,,,,,,
,,,,,,
MARKWEST OKLAHOMA GAS CO LLC,2012-094-C M-1,8/13/12,9/26/12,,,
,,,,,,
,,,,,,
MARKWEST OKLAHOMA GAS CO LLC,2014-1952-TVR,7/7/15,8/21/15,8/22/15,10/20/15,renewal of the Title V operating permit for their Stuart North Compressor Station
,,,,,,
,,,,,,
MCALESTER ARMY AMMO PLT,2012-672-TVR M-,9/19/15,11/2/15,11/3/15,1/1/16,McAlester Army Ammunition Plant (MCAAP) has requested a minor modification of the Title V operating...
,,,,,,
,,,,,,
MCALESTER ARMY AMMO PLT,2012-672-TVR M-,9/19/15,11/2/15,11/3/15,1/1/16,McAlester Army Ammunition Plant (MCAAP) has requested a minor modification of the Title V operating...
,,,,,,
,,,,,,
MCALESTER ARMY AMMO PLT,2012-672-TVR M-,10/31/15,12/14/15,12/15/15,2/12/16,McAlester Army Ammunition Plant (MCAAP) has requested a minor modification of the Title V operating...
,,,,,,
,,,,,,
MICHELIN N AMERICA INC,2008-095-TVR M-,4/15/11,5/29/11,,,
,,,,,,
,,,,,,
MID AMERICA MIDSTREAM - BUFFALO CREEK GAS PROCESSING PLT - BECKHAM COUNTY,2009-276-C M-1,7/17/12,8/30/12,,,PSD
MUSTANG GAS PROD LLC,2009-166-TVR2 M,4/15/11,5/29/11,,,
,,,,,,
,,,,,,
MUSTANG GAS PROD LLC,2015-1173-TVR3,7/29/15,9/11/15,9/12/15,11/10/15,Mustang Gas Products LLC has requested renewal of the Title V operating permit for the Humphrey Com...
,,,,,,
,,,,,,
MUSTANG GAS PROD LLC,2015-1084-TVR3,9/11/15,10/25/15,10/26/15,12/24/15,Mustang Gas Products LLC has requested renewal of the operating permit for the Snow Compressor Sta..
,,,,,,
,,,,,,
MUSTANG GAS PROD LLC,2015-0928-TVR3,9/12/15,10/26/15,10/27/15,12/25/15,Mustang Gas Products LLC (Mustang) has requested renewal of the operating permit for the Gooden Com...
,,,,,,
,,,,,,
MUSTANG GAS PROD LLC,2015-1172-TVR3,9/16/15,10/30/15,10/31/15,12/29/15,Mustang Gas Products LLC has submitted a Part 70 permit renewal application for their State School ...
,,,,,,
,,,,,,
NATURAL GAS PIPELINE CO OF AMERICA,2015-0910-TVR3,9/22/15,11/5/15,11/6/15,1/4/16,Natural Gas Pipeline Company of America (NGPL) has requested renewal of their current Part 70 opera...
,,,,,,
,,,,,,
NATURAL GAS PIPELINE CO OF AMERICA,2015-0669-TVR3,10/23/15,12/6/15,12/7/15,2/4/16,
,,,,,,
,,,,,,
"Natural Gas Pipeline Company of America, LLC - Compressor Station No. 158",2015-0265-TVR3,5/23/15,7/6/15,7/7/15,9/4/15,
NOMACO INC,2010-533-TVR,4/15/11,5/29/11,,,
,,,,,,
,,,,,,
NORIT AMERICAS INC,98-171-C M-2 PS,4/11/11,5/25/11,,,
,,,,,,
,,,,,,
Northern NATURAL GAS CO,2010-099-C M-1,5/3/12,6/16/12,,,
,,,,,,
,,,,,,
OG AND E,2009-449-ARR2,12/31/09,2/14/10,,,Acid Rain Permit
,,,,,,
,,,,,,
OG AND E,2009-451-ARR2,12/31/09,2/14/10,,,Acid Rain Permit
,,,,,,
,,,,,,
OG AND E,2009-448-ARR2,12/31/09,2/14/10,,,Acid Rain Permit
,,,,,,
,,,,,,
OG AND E,2009-452-ARR2,12/31/09,2/14/10,,,
,,,,,,
,,,,,,
OG AND E,2010-156-TVR M-,3/15/11,4/28/11,,,
,,,,,,
,,,,,,
OG AND E,2004-221-TVR M-,3/23/11,5/6/11,,,"OG&E has requested a modified Title V permit for its Mustang Generating Station (SIC 4911, NAICS 22..."
,,,,,,
,,,,,,
OG AND E,2005-271-C M-4,1/20/12,3/4/12,,,Construction mod permit
,,,,,,
,,,,,,
OG AND E,2011-1008-C M-1,,,,,"On September 28, 2015, ODEQ notified EPA Region 6 office via an email that the Draft permit referen..."
,,,,,,
,,,,,,
OG AND E,2011-1008-C M-1,10/8/15,11/21/15,,,OG&E has submitted an application for a significant modification to the Mustang Generating Station...
,,,,,,
,,,,,,
OK GAS PROCESSING INC,2014-1758-TVR3,9/18/15,11/1/15,11/2/15,12/31/15,"Oklahoma Gas Processing, Inc. has submitted an application for modification of their current Part 7..."
,,,,,,
,,,,,,
OK MUNI PWR ATHRTY,2009-447-ARR2,12/31/09,2/14/10,,,Acid Rain Permit
,,,,,,
,,,,,,
OKLAHOMA CITY LNDFLL LLC - SOUTHEAST OKLAHOMA CITY LNDFLL,2011-1085-TVR2,4/10/15,5/24/15,5/25/15,7/23/15,
"Oklahoma City Waste Disposal, Inc. - Oklahoma City Landfill Facility",99-404-C (M-2),,,,,
"Oklahoma Gas Processing, Inc.- Elmore City Gas Plant",2014-1758-TVR3,5/2/15,6/15/15,6/16/15,8/14/15,
"Oklahoma Municipal Power Authority - Ponca City Municipal Steam Plant,",2014-1221-ARR3,,,,,
"ONEOK Field Services Company, L.L.C. - Farni Compressor Station",2014-0698-TVR2,5/9/15,6/22/15,6/23/15,8/21/15,
"ONEOK Field Services Company, L.L.C. - Leedey Gas Plant",2014-0859-TVR3,2/13/15,3/29/15,3/30/15,5/28/15,
ONEOK FIELD SVC,2007-253-TV M-1,3/8/11,4/21/11,,,
,,,,,,
,,,,,,
ONEOK FIELD SVC,2006-252-C M-4,7/29/11,9/11/11,,,
,,,,,,
,,,,,,
ONEOK FIELD SVC,2009-237-C M-2,9/27/11,11/10/11,,,
,,,,,,
,,,,,,
ONEOK FIELD SVC CO LLC,2011-227-TVR2 M,6/26/15,8/10/15,,,"an application to modify their Maysville Gas Plant, which currently operates under Permit No. 2011-..."
,,,,,,
,,,,,,
ONEOK FIELD SVC CO LLC,2013-1556-TVR2,9/24/15,11/7/15,11/8/15,1/6/16,"ONEOK Field Services Company, L.L.C. (OFS) has submitted an application for the second renewal of t..."
,,,,,,
,,,,,,
ONEOK FIELD SVC CO LLC - CUSTER GAS PLT,2006-252-C M-8,4/10/15,5/24/15,5/25/15,7/23/15,
"ONEOK Gas Transportation, L.L.C. - McCurtain Compressor Station",2014-1493-TVR3,12/31/15,2/13/16,2/14/16,4/13/16,
OWENS BROCKWAY GLASS CONTAINER INC,PERMIT 2008-086,8/27/15,10/10/15,,,
,,,,,,
,,,,,,
,,,,,,
PANHANDLE EASTERN PIPELINE CO,2013-1330-TVR3,6/16/15,7/31/15,,,minor modification to the Title V operating permit
,,,,,,
PANHANDLE EASTERN PIPELINE CO,2010-205-TVR2 M,9/15/15,10/29/15,10/30/15,12/28/15,"Panhandle Eastern Pipeline Company, LP (PEPL) has requested a modified Part 70 permit for their Alv..."
,,,,,,
,,,,,,
PANHANDLE EASTERN PIPELINE CO,2015-1390-TVR3,10/27/15,12/10/15,12/11/15,2/8/16,Panhandle Eastern Pipe Line Company has submitted an application requesting the third renewal of the...
,,,,,,
,,,,,,
Phillips 66 Company - Ponca City Refinery,98-104-C (M-15),5/8/15,6/21/15,,,Construction permit
PLAINS MARKETING LP,2009-191-TV M-2,6/25/15,8/9/15,,,minor modification to the Title V operating permit
,,,,,,
,,,,,,
PLAINS MARKETING LP,2015-1352-TVR,10/7/15,11/20/15,11/21/15,1/19/16,"Plains Marketing, LP has requested renewal of the Title V operating permit for the Cushing Terminal..."
,,,,,,
,,,,,,
PRYOR CHEM CO,2008-100-C M-1,11/10/11,12/24/11,,,PSD permit
,,,,,,
,,,,,,
PRYOR CHEM CO,2008-100-C M-2,3/7/12,4/20/12,,,PSD permit
,,,,,,
,,,,,,
Public Service Company of Oklahoma - Northeastern Power Station,2014-1749-ARR3,,,,,
Public Service Company of Oklahoma - Riverside Power Station,2014-1788-ARR3,,,,,
Public Service Company of Oklahoma - Riverside Power Station,2014-1750-ARR3,,,,,
Public Service Company of Oklahoma - Tulsa Power Station,2014-1751-ARR3,,,,,
PUBLIC SVC CO OF OK,2009-457-ARR2,12/31/09,2/14/10,,,Acid Rain Permit
,,,,,,
,,,,,,
PUBLIC SVC CO OF OK,2009-436-ARR2,12/30/09,2/13/10,,,Acid Rain Permit
,,,,,,
,,,,,,
PUBLIC SVC CO OF OK,2010-496-C M-2,8/21/15,10/4/15,,,American Electric Power (AEP) has requested a construction permit for their Comanche Power Station ...
,,,,,,
,,,,,,
PVR MIDSTREAM LLC,2007-030-C M-2,5/1/12,6/14/12,,,Revised review start date to reflect updated permit received from ODEQ on 04/30/2012.
,,,,,,
,,,,,,
REGENCY GAS SVC LLC,2013-0357-TVR,7/14/15,8/27/15,8/28/15,10/26/15,Regency has applied for a renewal of the Part 70 Title V operating permit for their Mocane Cryogeni...
,,,,,,
,,,,,,
REGENCY GAS SVC LLC,2015-1092-TVR3,9/1/15,10/15/15,10/16/15,12/14/15,"Regency Field Services, LLC has applied for a renewal of the Part 70 Title V operating permit for ..."
,,,,,,
,,,,,,
SCISSORTAIL ENGRY LLC,2015-0605-TVR3,8/4/15,9/17/15,9/18/15,11/16/15,ScissorTail has requested renewal of their current Part 70 operating permit.
,,,,,,
,,,,,,
SELF SUSPENDING PROPPANT LLC,2010-531-C M-3,7/1/15,8/15/15,,,applicant has requested modification of Construction Permit No. 2010-531-C (M-1) to implement addit...
,,,,,,
,,,,,,
SEMCRUDE LP,2010-178-C M-3,6/29/11,8/12/11,,,
,,,,,,
,,,,,,
SEMCRUDE LP,2010-178-C M-4,2/9/12,3/24/12,,,Construction permit modification
,,,,,,
,,,,,,
SHUTTER MILL INC DBA KIRTZ SHUTTERS,2015-0804-TVR2,8/28/15,10/11/15,10/12/15,12/10/15,"The Shutter Mill, Inc. has requested renewal of their operating permit for a wood shutter manufactu..."
,,,,,,
,,,,,,
SOLAE CO LLC,2007-241-C M-1,7/29/15,9/11/15,,,
,,,,,,
,,,,,,
SUNOCO PIPELINE LP,2011-318-O,8/25/11,10/8/11,,,
,,,,,,
,,,,,,
SUNOCO PIPELINE LP,2015-0714-TVR3,10/29/15,12/12/15,12/13/15,2/10/16,"Sunoco Pipeline, L.P. has submitted an application to renew their current Title V operating permit ..."
,,,,,,
,,,,,,
Sunoco Pipeline L.P.- Velma Station,2015-0266-TVR3,4/21/15,6/4/15,6/5/15,8/3/15,
TARGA PIPELINE MIDCONTINENT WESTOK LLC,2011-710-TVR M-,7/10/15,8/24/15,8/25/15,10/23/15,minor modifications of the current Waynoka Natural Gas Processing Plant operating permit
,,,,,,
,,,,,,
TERRA INTL OKLAHOMA INC,2006-222-C M-5,12/14/11,1/27/12,,,
,,,,,,
,,,,,,
TIDAL ENGRY MKTG LLC,2011-018-C,4/5/11,5/19/11,,,
,,,,,,
,,,,,,
TINKER AFB LOGISTICS CTR,2009-394-C M-4,10/1/15,11/14/15,,,This permit application: the applicant requests an increase in emissions associated with facilities...
,,,,,,
,,,,,,
TINKER AFB LOGISTICS CTR,2009-394-C M-3,10/1/15,11/14/15,,,Tinker Air Force Base (Tinker AFB) requests an increase in emissions associated with facilities nee...
,,,,,,
,,,,,,
"TPL Arkoma Holdings, LLC - Able Compressor Station",2011-671-TV,5/13/15,6/26/15,6/27/15,8/25/15,
TULSA LFG LLC,2008-196-C M-2,6/24/11,8/7/11,,,concurrent EPA & public review
,,,,,,
,,,,,,
US GYPSUM CO,2011-035-TVR2,5/26/11,7/9/11,,,Title V renewal
,,,,,,
,,,,,,
US LIME CO - ST CLAIR,2013-2239-TVR2,9/29/15,11/12/15,11/13/15,1/11/16,U. S. Lime & Minerals Company (formerly Global Stone St. Clair Inc.) has requested a renewal Title ...
,,,,,,
,,,,,,
"U. S. Silica Company - Mill Creek South Plant 37, VALERO PARTNERS WYNNEWOOD LLC - ARDMORE PUMP STA, CARTER COUNTY",2014-1852-O,12/30/15,2/12/16,2/13/16,4/12/16,
"U. S. Silica Company - Mill Creek South Plant 37, VALERO PARTNERS WYNNEWOOD LLC - ARDMORE PUMP STA, CARTER COUNTY",2015-0503-TVR,7/7/15,8/21/15,8/22/15,10/20/15,Valero Partners Wynnewood has requested renewal of the Title V operating permit for their Ardmore P...
,,,,,,
,,,,,,
"VALERO RFNRY CO - OKLAHOMA, VALERO ARDMORE RFNRY, CARTER COUNTY",98-172-C M-34,11/28/11,1/11/12,,,
,,,,,,
,,,,,,
"Waste Management of Oklahoma, Inc. - East Oak Recycling and Disposal Facility",2011-226-TVR2 (,5/9/15,6/22/15,6/23/15,8/21/15,
"WASTE MGMT OF OK, EAST OAK LNDFLL, OKLAHOMA COUNTY",2011-226-TVR2 M,8/7/15,9/20/15,9/21/15,11/19/15,"Waste Management of Oklahoma, Inc. has requested a modification of the Part 70 Title-V operating pe..."
,,,,,,
,,,,,,
"WESTERN FARMERS ELEC COOP, MOORELAND GENERATING STA, WOODWARD COUNTY",2009-478-ARR2,4/29/10,6/13/10,,,Acid Rain permit
,,,,,,
,,,,,,
"WESTERN FARMERS ELEC COOP, MOORELAND GENERATING STA, WOODWARD COUNTY",2010-269-ARR2,9/23/10,11/7/10,,,Acid Rain Permit
,,,,,,
,,,,,,
"WESTERN FARMERS ELEC COOP, HUGO GNRTNG STA, CHOCTAW COUNTY",97-058-TV M-5,7/15/11,8/28/11,,,
,,,,,,
,,,,,,
"WESTERN FARMERS ELEC COOP, HUGO GNRTNG STA, CHOCTAW COUNTY",2008-337-TVR M-,7/27/15,9/9/15,9/10/15,11/8/15,Western Farmers Electric Cooperative has requested a significant modification to the Title V operat...
,,,,,,
,,,,,,
Western Farmers Electric Cooperative - Hugo Power Plant,2014-1374-ARR3,,,,,
"WEYERHAEUSER NR CO - IDABEL, IDABEL SAWMILL, MCCURTAIN COUNTY",2010-272-C M-2,1/11/12,2/24/12,,,construction permit
,,,,,,
,,,,,,
"WEYERHAEUSER NR CO - IDABEL, IDABEL SAWMILL, MCCURTAIN COUNTY",2015-1163-TVR3,10/2/15,11/15/15,11/16/15,1/14/16,Weyerhaeuser NR Company Ð Idabel (Weyerhaeuser) has requested a renewed Title V operating permit. ...
,,,,,,
,,,,,,
"WHITING OIL AND GAS CORP, POSTLE UPPER MORROW INJECTION STA, TEXAS COUNTY",2010-019-O,4/15/11,5/29/11,,,
,,,,,,
,,,,,,
"WHITING OIL AND GAS CORP, WEST HOUGH MORROW STA, TEXAS COUNTY",2010-018-O,5/4/11,6/17/11,,,Operating Permit
,,,,,,
,,,,,,
"Woodward Nitric Acid, Ammonia, and Urea Production Facility - Replacement of Boi...",2012-1056-C (M-,2/13/15,3/29/15,3/30/15,5/28/15,
"WTG HUGOTON LP, TEXAS COUNTY",2014-2454-TVR2,9/24/15,11/7/15,11/8/15,1/6/16,"WTG Hugoton LP has requested renewal of the current Title V permit (Permit No. 2003-195-TVR, issued..."
,,,,,,
,,,,,,
