Facility ID,Facility Name,City,County,Initial Issue Date,Renewal Date,Column1
7411,DAVIS WIRE CORP,IRWINDALE,LA,5/9/00,7/27/11,6037
800037,DEMENNO/KERDOON,COMPTON,LA,7/1/11,,6037
140811,DUCOMMUN AEROSTRUCTURES INC,MONROVIA,LA,7/28/03,7/28/13,6037
45938,E.M.E. INC/ELECTRO MACHINE & ENGINEERING,COMPTON,LA,7/31/03,7/28/13,6037
136148,E/M COATING SERVICES,NORTH HOLLYWOOD,LA,8/13/01,9/2/11,6037
136173,E/M COATING SERVICES,CHATSWORTH,LA,7/9/01,9/2/11,6037
13854,EAST LOS ANGELES COLLEGE,MONTEREY PARK,LA,6/23/04,10/18/11,6037
800264,EDGINGTON OIL COMPANY,LONG BEACH,LA,10/1/09,12/12/14,6037
115663,"EL SEGUNDO POWER, LLC",EL SEGUNDO,LA,8/19/99,12/3/14,6037
74060,ENGINEERED POLYMER SOLUTIONS INC,LOS ANGELES,LA,1/30/09,6/13/14,6037
19194,EPPINK OF CALIFORNIA,SOUTH GATE,LA,7/9/01,9/2/11,6037
136202,EPSILON PLASTICS INC,RANCHO DOMINGUEZ,LA,1/20/03,6/21/13,6037
116931,"EQUILON ENT LLC, SHELL OIL PROD. U S",SIGNAL HILL,LA,4/20/09,12/9/14,6037
117560,"EQUILON ENTER, LLC-SHELL OIL PROD. US",WILMINGTON,LA,4/20/09,1/7/15,6037
800372,"EQUILON ENTER. LLC, SHELL OIL PROD. US",CARSON,LA,6/8/09,1/23/15,6037
800369,"EQUILON ENTER.LLC , SHELL OIL PROD. U S",VAN NUYS,LA,11/21/14,,6037
124838,EXIDE TECHNOLOGIES,VERNON,LA,8/1/02,3/25/11,6037
800092,EXXONMOBIL OIL CORP,TERMINAL ISLAND,LA,1/26/09,2/11/15,6037
800089,EXXONMOBIL OIL CORPORATION,TORRANCE,LA,1/25/10,12/17/14,6037
800171,EXXONMOBIL OIL CORPORATION,VERNON,LA,1/26/09,1/23/15,6037
25501,"FABRI-COTE,DIV A & S GLASS FABRICS CO IN",LOS ANGELES,LA,6/18/01,1/6/12,6037
134590,"FLEISCHMANN'S VINEGAR CO, INC",MONTEBELLO,LA,10/2/08,10/2/13,6037
12630,FLINT GROUP NORTH AMERICA CORP,CITY OF INDUSTRY,LA,7/26/05,11/16/10,6037
12876,FOAM FABRICATORS,COMPTON,LA,8/1/02,8/25/11,6037
40915,FREUND BAKING CO,GLENDALE,LA,10/6/99,9/21/11,6037
2044,"G B MFG INC/CALIF ACRYLIC, DBA CAL SPAS",POMONA,LA,7/28/03,7/28/13,6037
155828,GARRETT AVN. SVCS. LLC DBA STANDARD AERO,LOS ANGELES,LA,4/21/09,5/9/14,6037
800327,"GLENDALE CITY, GLENDALE WATER & POWER",GLENDALE,LA,8/23/99,12/4/14,6037
57094,"GS ROOFING PRODUCTS CO, INC/CERTAINTEED",WILMINGTON,LA,9/15/08,4/15/15,6037
156741,"HARBOR COGENERATION CO, LLC",WILMINGTON,LA,5/15/08,11/19/13,6037
100145,HARBOR FUMIGATION INC,SAN PEDRO,LA,1/30/09,5/15/15,6037
157359,"HENKEL ELECTRONIC MATERIALS, LLC",COMPTON,LA,2/4/07,3/27/12,6037
800066,HITCO CARBON COMPOSITES INC,GARDENA,LA,1/20/03,1/20/13,6037
800003,HONEYWELL INTERNATIONAL INC,TORRANCE,LA,9/22/99,11/17/15,6037
134018,INDUSTRIAL CONTAINER SERVICES-CA LLC,MONTEBELLO,LA,7/26/05,6/7/11,6037
124808,INEOS  POLYPROPYLENE LLC,CARSON,LA,9/12/08,12/6/13,6037
800367,IPS CORPORATION,GARDENA,LA,11/14/03,11/14/13,6037
24647,J. B. I. INC,RANCHO DOMINGUEZ,LA,7/9/01,9/2/11,6037
91259,JOHANSON DIELECTRICS INC,SYLMAR,LA,10/1/01,11/29/11,6037
14492,JOHNSON LAMINATING & COATING INC,CARSON,LA,7/9/01,9/2/11,6037
74529,"K. F. FIBERGLASS, INC.",DOWNEY,LA,8/1/02,1/24/13,6037
16338,"KAISER ALUMINUM FABRICATED PRODUCTS, LLC",LOS ANGELES,LA,10/18/99,8/25/11,6037
800429,KAISER FOUNDATION HOSPITAL,LOS ANGELES,LA,5/25/05,10/18/11,6037
800057,"KINDER MORGAN LIQUIDS TERMINALS, LLC",CARSON,LA,5/17/10,6/17/15,6037
45262,LA  COUNTY SANITATION DIST SCHOLL CANYON,GLENDALE,LA,9/20/05,10/21/11,6037
49805,"LA CITY, BUREAU OF SANIT(LOPEZ CANYON)",LAKE VIEW TERRACE,LA,4/7/07,8/8/12,6037
800335,"LA CITY, DEPT OF AIRPORTS",LOS ANGELES,LA,5/9/00,12/23/15,6037
800170,"LA CITY, DWP HARBOR GENERATING STATION",WILMINGTON,LA,1/5/01,11/15/13,6037
800074,"LA CITY, DWP HAYNES GENERATING STATION",LONG BEACH,LA,8/19/99,1/14/15,6037
800075,"LA CITY, DWP SCATTERGOOD GENERATING STN",PLAYA DEL REY,LA,8/19/99,1/15/15,6037
800193,"LA CITY, DWP VALLEY GENERATING STATION",SUN VALLEY,LA,8/19/99,1/13/15,6037
800214,"LA CITY, SANITATION BUREAU (HTP)",PLAYA DEL REY,LA,1/12/09,7/11/14,6037
10245,"LA CITY, TERMINAL ISLAND TREATMENT PLANT",SAN PEDRO,LA,8/1/07,8/15/13,6037
25070,LA CNTY SANITATION DISTRICT-PUENTE HILLS,CITY OF INDUSTRY,LA,11/6/06,3/30/12,6037
800312,LA CO HARBOR-UCLA MEDICAL CENTER,TORRANCE,LA,7/26/05,10/19/11,6037
800236,LA CO. SANITATION DIST,CARSON,LA,1/12/09,4/9/14,6037
550,"LA CO., INTERNAL SERVICE DEPT",LOS ANGELES,LA,10/18/99,1/19/12,6037
53610,"LA CO., METROPOLITAN TRANS AUTHORITY",LOS ANGELES,LA,4/6/04,2/16/16,6037
3093,"LA CO., OLIVE VIEW/UCLA MEDICAL CENTER",SYLMAR,LA,4/13/01,10/18/11,6037
6384,"LA CO., RANCHO LOS AMIGOS NAT. REHAB CTR",DOWNEY,LA,4/18/02,2/13/15,6037
800386,"LA CO., SHERIFF DEPT",SAUGUS,LA,10/8/01,12/4/15,6037
29411,"LA CO., SHERIFF'S DEPT",LOS ANGELES,LA,11/2/06,10/18/11,6037
42514,LA COUNTY SANITATION DIST (CALABASAS),AGOURA,LA,5/23/06,3/23/12,6037
42633,LA COUNTY SANITATION DISTRICTS (SPADRA),POMONA,LA,5/23/06,3/21/12,6037
20197,LAC/USC MEDICAL CENTER,LOS ANGELES,LA,3/26/01,10/19/11,6037
800428,LAMPS PLUS INC/ PACIFIC COAST LIGHTING,CHATSWORTH,LA,7/28/08,7/28/13,6037
800313,LAXFUEL CORP,LOS ANGELES,LA,5/25/05,12/9/15,6037
144455,"LIFOAM INDUSTRIES, LLC",VERNON,LA,2/13/09,1/5/16,6037
83102,LIGHT METALS INC,CITY OF INDUSTRY,LA,6/2/00,3/28/12,6037
180367,"LINN OPERATING, INC.",SANTA CLARITA,LA,,11/4/14,6037
139799,LITHOGRAPHIX INC,HAWTHORNE,LA,10/29/04,6/17/15,6037
44577,"LONG BEACH CITY, SERRF PROJECT",LONG BEACH,LA,4/7/04,,6037
115314,"LONG BEACH GENERATION, LLC",LONG BEACH,LA,5/9/00,10/31/14,6037
14213,LONG BEACH MEMORIAL MEDICAL CENTER,LONG BEACH,LA,5/25/05,10/26/11,6037
124904,LOS ANGELES TIMES COMMUNICATIONS LLC,LOS ANGELES,LA,5/6/02,5/6/12,6037
143723,"LOVIN OVEN, LLC",AZUSA,LA,NOT ISSUED,,6037
800080,LUNDAY-THAGARD COMPANY,SOUTH GATE,LA,10/29/09,9/23/15,6037
1379,MADISON-GRAHAM COLORGRAPHICS INC,LOS ANGELES,LA,3/26/01,7/26/11,6037
2619,MARTIN LUTHER KING JR MEDICAL CAMPUS,LOS ANGELES,LA,5/25/05,8/24/10,6037
800398,"MASK-OFF COMPANY, INC",MONROVIA,LA,1/20/03,1/20/13,6037
17841,MC DOWELL & CRAIG MFG. CO.,NORWALK,LA,6/18/01,9/2/11,6037
58563,MERCURY PLASTICS INC,CITY OF INDUSTRY,LA,5/6/02,5/6/12,6037
155877,"MILLERCOORS, LLC",IRWINDALE,LA,6/2/00,10/28/11,6037
104806,MM LOPEZ ENERGY LLC,SYLMAR,LA,1/12/09,3/13/14,6037
113873,MM WEST COVINA LLC,WEST COVINA,LA,4/19/10,2/6/15,6037
73367,MONARCH LITHO INC,MONTEBELLO,LA,9/22/99,10/2/15,6037
11887,NASA JET PROPULSION LAB,PASADENA,LA,10/1/01,10/18/11,6037
117882,NELSON NAMEPLATE COMPANY,LOS ANGELES,LA,4/16/01,7/26/11,6037
12428,"NEW NGC, INC.",LONG BEACH,LA,10/18/99,11/20/14,6037
800408,NORTHROP GRUMMAN SYSTEMS,MANHATTAN BEACH,LA,7/9/01,9/7/11,6037
18294,NORTHROP GRUMMAN SYSTEMS CORP,EL SEGUNDO,LA,5/9/00,8/27/15,6037
800409,NORTHROP GRUMMAN SYSTEMS CORPORATION,REDONDO BEACH,LA,,9/30/15,6037
71207,NORTHWESTERN SHOWCASE & FIXTURE CO,LOS ANGELES,LA,4/9/01,9/2/11,6037
89248,OLD COUNTRY MILLWORK INC,LOS ANGELES,LA,9/22/99,7/6/10,6037
35302,"OWENS CORNING ROOFING AND ASPHALT, LLC",COMPTON,LA,7/30/04,12/8/10,6037
7427,OWENS-BROCKWAY GLASS CONTAINER INC,VERNON,LA,1/12/05,11/1/11,6037
45746,"PABCO BLDG PRODUCTS LLC,PABCO PAPER, DBA",VERNON,LA,NOT ISSUED,,6037
150233,"PACIFIC MFG MGMT, INC DBA GRENEKER SOLUT",LOS ANGELES,LA,,1/4/13,6037
121727,PACIFIC PIPELINE SYSTEM LLC,LONG BEACH,LA,2/2/09,12/16/14,6037
800183,PARAMOUNT PETR CORP,PARAMOUNT,LA,3/19/09,9/29/15,6037
18960,PASADENA CITY COLLEGE,PASADENA,LA,10/8/01,1/9/15,6037
800168,"PASADENA CITY, DWP",PASADENA,LA,8/23/99,1/16/15,6037
140552,"PERFORMANCE COMPOSITES, INC",COMPTON,LA,6/18/01,5/1/12,6037
9978,PETER PEPPER PRODUCTS,COMPTON,LA,7/26/05,1/19/11,6037
800079,PETRO DIAMOND TERMINAL CO,LONG BEACH,LA,3/23/09,3/23/14,6037
171107,PHILLIPS 66 CO/LA REFINERY WILMINGTON PL,WILMINGTON,LA,7/1/09,7/23/15,6037
171109,PHILLIPS 66 COMPANY/LOS ANGELES REFINERY,CARSON,LA,11/7/08,4/8/15,6037
171326,PHILLIPS 66 PIPELINE LLC,LOS ANGELES,LA,3/16/09,12/17/14,6037
171327,PHILLIPS 66 PIPELINE LLC,TORRANCE,LA,9/20/11,9/20/11,6037
800417,PLAINS WEST COAST TERMINALS LLC,COMPTON,LA,4/20/09,2/3/15,6037
800420,PLAINS WEST COAST TERMINALS LLC,LONG BEACH,LA,4/20/09,9/2/14,6037
11435,PQ CORPORATION,SOUTH GATE,LA,6/2/00,10/2/13,6037
7416,PRAXAIR INC,WILMINGTON,LA,11/12/99,8/23/13,6037
136,PRESS FORGE CO,PARAMOUNT,LA,9/23/03,8/30/11,6037
105903,PRIME WHEEL,CARSON,LA,7/14/08,2/15/13,6037
8220,PROVIDENCE ST JOSEPH MED CTR,BURBANK,LA,6/15/05,11/22/11,6037
171941,Q.E.P. INC.,SUN VALLEY,LA,10/2/12,1/19/11,6037
8547,QUEMETCO INC,CITY OF INDUSTRY,LA,5/9/00,5/4/12,6037
3585,"R. R. DONNELLEY & SONS CO, LA MFG DIV",TORRANCE,LA,5/9/00,11/17/15,6037
52517,REXAM BEVERAGE CAN COMPANY,CHATSWORTH,LA,10/6/99,12/3/15,6037
100806,ROBINSON HELICOPTER CO INC,TORRANCE,LA,2/4/02,3/27/12,6037
89710,ROYAL CABINETS,POMONA,LA,4/28/00,12/3/15,6037
23487,ROYAL PAPER BOX CO,MONTEBELLO,LA,10/6/99,10/22/14,6037
180290,ROYAL TRUCK BODY,CARSON,LA,NOT ISSUED,,6037
32840,ROYAL TRUCK BODY INC,PARAMOUNT,LA,3/26/01,4/27/11,6037
7450,SANDBERG FURNITURE MFG CO INC,LOS ANGELES,LA,3/26/01,6/7/11,6037
161300,"SAPA EXTRUDER, INC",CITY OF INDUSTRY,LA,7/1/00,8/6/10,6037
800278,"SFPP, L.P.  (NSR USE)",CARSON,LA,2/23/09,8/27/14,6037
16639,SHULTZ STEEL CO,SOUTH GATE,LA,9/22/99,4/5/11,6037
149814,SIERRACIN/SYLMAR CORP,SYLMAR,LA,,6/7/11,6037
25513,"SIX FLAGS THEMES PKS INC,SIX FLAGS MAGIC",VALENCIA,LA,3/26/01,10/28/11,6037
4477,SO CAL EDISON CO,AVALON,LA,5/9/00,10/27/11,6037
17104,SO CAL EDISON CO,NORWALK,LA,4/3/07,6/8/12,6037
5973,SO CAL GAS CO,VALENCIA,LA,9/3/07,1/9/15,6037
800128,SO CAL GAS CO,NORTHRIDGE,LA,9/5/07,11/19/13,6037
8582,SO CAL GAS CO/PLAYA DEL REY STORAGE FAC,PLAYA DEL REY,LA,3/26/01,10/19/11,6037
14871,SONOCO PRODUCTS CO,CITY OF INDUSTRY,LA,9/12/14,,6037
148568,SOUTHWEST MILL & LUMBER,SUN VALLEY,LA,9/29/06,9/2/11,6037
167598,SPACE EXPLORATION TECHNOLOGIES,HAWTHORNE,LA,NOT ISSUED,,6037
169990,"SPS TECHNOLOGIES, LLC",GARDENA,LA,3/7/12,,6037
52742,STOROPACK INC,DOWNEY,LA,8/1/02,4/14/10,6037
49111,SUNSHINE CANYON LANDFILL,SYLMAR,LA,10/5/04,4/27/12,6037
139938,SUNSHINE GAS PRODUCERS LLC,SYLMAR,LA,4/27/12,,6037
3968,"TABC, INC",LONG BEACH,LA,5/9/00,11/2/10,6037
172878,TESORO LOGISTICS LONG BEACH TERMINAL,LONG BEACH,LA,4/20/09,12/19/14,6037
176377,TESORO LOGISTICS MARINE TERMINAL 2,LONG BEACH,LA,1/26/09,2/10/15,6037
174694,"TESORO LOGISTICS, CARSON  CRUDE TERMINAL",CARSON,LA,2/23/09,4/23/15,6037
174704,"TESORO LOGISTICS, EAST HYNES TERMINAL",LONG BEACH,LA,5/18/09,11/25/14,6037
174711,"TESORO LOGISTICS, HATHAWAY TERMINAL",SIGNAL HILL,LA,1/26/09,9/19/14,6037
174710,"TESORO LOGISTICS, VINVALE TERMINAL",SOUTH GATE,LA,2/23/09,7/31/14,6037
167981,"TESORO LOGISTICS, WILMINGTON TERMINAL",WILMINGTON,LA,2/1/12,1/15/13,6037
174703,"TESORO LOGISTICS,CARSON PROD TERMINAL",CARSON,LA,4/20/09,2/25/16,6037
174591,"TESORO REF & MKTG CO LLC,CALCINER",WILMINGTON,LA,10/3/08,5/30/14,6037
174655,"TESORO REFINING & MARKETING CO, LLC",CARSON,LA,9/1/09,1/29/16,6037
151798,"TESORO REFINING AND MARKETING CO, LLC",CARSON,LA,10/26/09,12/24/14,6037
800436,"TESORO REFINING AND MARKETING CO, LLC",WILMINGTON,LA,11/23/09,6/2/15,6037
174727,"TESORO REFINING MARKETING COMPANY LLC,",SOUTH GATE,LA,3/9/16,,6037
800038,THE BOEING COMPANY - C17 PROGRAM,LONG BEACH,LA,1/20/03,1/20/13,6037
13011,THE GILL CORPORATION,EL MONTE,LA,5/9/00,10/13/10,6037
62548,"THE NEWARK GROUP, INC.",COMMERCE,LA,NOT ISSUED,,6037
83508,THE TERMO COMPANY,NORTHRIDGE,LA,6/1/08,6/2/15,6037
129497,THUMS LONG BEACH CO,LONG BEACH,LA,5/10/02,9/2/11,6037
800325,TIDELANDS OIL PRODUCTION CO,LONG BEACH,LA,6/1/08,11/6/14,6037
181667,TORRANCE REFINING COMPANY LLC,TORRANCE,LA,NOT ISSUED,,6037
142417,TOYON LANDFILL GAS CONVERSION LLC,LOS ANGELES,LA,,11/18/11,6037
24450,TREND MANOR FURNITURE MFG CO INC,CITY OF INDUSTRY,LA,4/28/00,9/30/15,6037
800267,"TRIUMPH PROCESSING,  INC.",LYNWOOD,LA,3/26/01,2/21/12,6037
800026,ULTRAMAR INC,WILMINGTON,LA,5/29/09,3/31/15,6037
800198,ULTRAMAR INC,WILMINGTON,LA,4/6/09,2/11/15,6037
127749,"ULTRAMAR, INC",WILMINGTON,LA,1/26/09,10/15/14,6037
9755,UNITED AIRLINES INC,LOS ANGELES,LA,5/1/02,6/5/13,6037
800265,UNIV OF SO CAL (EIS & NSR USE ONLY),LOS ANGELES,LA,4/13/01,10/18/11,6037
800202,"UNIVERSAL CITY STUDIOS, LLC.",UNIVERSAL CITY,LA,8/16/02,12/7/12,6037
18452,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",LOS ANGELES,LA,10/8/01,4/4/13,6037
56,"UNIVERSITY SO CALIFORNIA,HEALTH SCIENCES",LOS ANGELES,LA,6/2/05,10/18/11,6037
5679,"US GOVT, VETERANS ADMINISTRATION MED CTR",NORTH HILLS,LA,3/9/01,10/18/11,6037
13990,"US GOVT, VETERANS AFFAIRS MEDICAL CENTER",LONG BEACH,LA,3/26/01,1/12/16,6037
14966,VA GREATER LOS ANGELES HEALTHCARE SYS,LOS ANGELES,LA,3/26/01,6/4/15,6037
800393,VALERO WILMINGTON ASPHALT PLANT,WILMINGTON,LA,7/24/12,8/7/12,6037
11034,"VEOLIA ENERGY LOS ANGELES, INC",CENTURY CITY,LA,11/29/05,12/3/15,6037
146536,"WALNUT CREEK ENERGY, LLC",CITY OF INDUSTRY,LA,5/5/11,,6037
50310,WASTE MGMT DISP &RECY SERVS INC (BRADLEY,SUN VALLEY,LA,3/27/07,12/12/12,6037
10966,WEBER METALS INC,PARAMOUNT,LA,5/15/08,6/12/14,6037
22092,WESTERN TUBE & CONDUIT CORP,LONG BEACH,LA,10/1/01,7/31/12,6037
51620,WHEELABRATOR NORWALK ENERGY CO INC,NORWALK,LA,6/1/08,11/21/14,6037
A1179,Redwood Landfill Inc,Novato,MRN,N/A,,6041
A1317,WinCup Holdings L P,Corte Madera,MRN,Cancelled Permit,,6041
A9183,Napa Vallejo Waste Mgmt Authority,Napa,NAP,Cancelled Permit,,6055
115389,"AES HUNTINGTON BEACH, LLC",HUNTINGTON BEACH,OR,8/19/99,5/4/11,6059
167066,ARLON GRAPHICS L.L.C.,SANTA ANA,OR,2/4/07,2/4/12,6059
174406,ARLON GRAPHICS LLC,PLACENTIA,OR,4/15/14,,6059
