a,a,a,a,a,a
30300004,Imerys - Sandersville Calcine Plant,10/25/01,3259-303-0004-V-01-0,VN-9443,Title V
5100205,Superior Landfill & Recycling Center,10/2/03,4953-051-0205-V-01-0,VN-9833,Title V
26100069,"Recreation Unlimited, LLC",10/18/00,3732-261-0069-V-01-0,VN-9620,Title V
27500004,Oil-Dri Corporation Of Georgia,5/14/02,3295-275-0004-V-01-0,VN-9649,Title V
4500039,Printpack Inc,12/3/98,2759-045-0039-V-01-0,VN-9639,Title V
4500051,Southwire Co-Corp Energy Mgmt,5/31/00,3357-045-0051-V-01-0,VN-9764,Title V
6900044,MarCraft Inc,4/20/99,3088-069-0044-V-01-0,VN-8999,Title V
12100004,General Shale Brick Inc Plt 30,7/13/99,3251-121-0004-V-01-0,VN-9035,Title V
5100132,Georgia-Pacific Corp Savannah,9/6/01,2435-051-0132-V-01-0,VN-9079,Title V
12700027,Georgia-Pacific Wood Products LLC (Sterling),7/31/00,2421-127-0027-V-01-0,VN-9076,Title V
9900020,"Maverick C&P, Inc.",2/23/01,3644-099-0020-V-01-0,VN-9067,Title V
21700018,Specialty Yarn & Converting,9/6/01,2296-217-0018-V-02-0,VN-9106,Title V
24500047,West Fraser Inc - Augusta Lumber Mill,4/27/00,2421-245-0047-V-01-0,VN-9146,Title V
2100021,"Southern Natural Gas Company, L.L.C.- Ocmulgee Comp. Station",7/13/99,4922-021-0021-V-01-0,VN-9136,Title V
23300020,"Meggitt (Rockmart), Inc.",6/25/02,3069-233-0020-V-01-0,VN-9132,Title V
13300003,Georgia Bathware,10/7/98,3088-133-0003-V-01-0,VN-9176,Title V
18900002,HP Pelzer Inc.,7/13/99,2399-189-0002-V-01-0,VN-9169,Title V
4500008,Southwire Company -Carrollton,4/17/02,3351-045-0008-V-02-0,VN-9163,Title V
5100058,Vopak Terminal Savannah Inc,6/19/02,4226-051-0058-V-01-0,VN-9205,Title V
28500041,Milliken & Co Kex Plant,12/4/00,2269-285-0041-V-01-0,VN-9192,Title V
18500096,"Advanced Disposal Services Pecan Row Landfill, LLC",11/19/02,4953-185-0096-V-01-0,VN-10034,Title V
5100210,Dean Forest Road Landfill,5/17/00,4953-051-0210-V-01-0,VN-10325,Title V
2100072,Keebler Company/Kellogg's Snack,5/20/99,2052-021-0072-V-01-1,VN-11117,Title V
15300042,Mid-Georgia Cogen LP,1/25/00,4911-153-0042-V-01-0,VN-11182,Title V
6300025,International Processing Corporation,11/24/99,2048-063-0025-V-02-0,VN-11556,Title V
25500047,Coveris Flexibles US LLC - Griffin,7/14/03,2673-255-0047-V-02-0,VN-11595,Title V
7100005,Ball Metal Beverage Container Corp.,10/29/98,3411-071-0005-V-01-1,VN-10821,Title V
28500081,Lagrange I-85/SR109 SLF,4/17/00,4953-285-0081-V-01-0,VN-10907,Title V
7300020,Metokote Corp Plt 14,7/31/02,3479-073-0020-V-01-1,VN-12211,Title V
20500044,Baconton Power LLC,7/10/01,4911-205-0044-V-03-0,VN-12316,Title V
300014,"Whittley USA, Inc.",10/25/01,3732-003-0014-V-01-0,VN-12396,Title V
18900002,HP Pelzer Inc.,12/21/00,2399-189-0002-V-01-1,VN-12424,Title V
25500049,Cooper Standard Automotive,11/15/00,3061-255-0049-V-01-1,VN-12420,Title V
6900045,"Marine Manufacturing, Inc.",9/29/00,3732-069-0045-V-01-0,VN-11747,Title V
2100072,Keebler Company/Kellogg's Snack,9/26/00,2052-021-0072-V-01-2,VN-11769,Title V
18900002,HP Pelzer Inc.,4/29/04,2399-189-0002-V-01-2,VN-12701,Title V
5900035,Oliver Rubber Company,5/24/01,3011-059-0035-V-01-3,VN-12833,Title V
10300003,Ga Power Co Plt McIntosh,2/4/02,4911-103-0003-V-01-3,VN-12939,Title V
15700034,Dahlberg Combustion Turbine Electric Generating Plant,5/29/03,4911-157-0034-V-03-0,VN-12911,Title V
28900002,"Imerys Kaolin, Inc.-Jeffersonville Operation",4/19/01,3295-289-0002-V-02-0,VN-12960,Title V
14900007,Municipal Electric Authority Of Ga-Wansley,2/4/02,4911-149-0007-V-01-0,VN-13133,Title V
19900017,Mead Southern Wood Products,7/23/02,2421-199-0017-V-01-1,VN-12523,Title V
6300020,Rexam Beverage Can Company,6/11/01,3411-063-0020-V-02-0,VN-12578,Title V
5700052,International Marble,10/21/03,3281-057-0052-V-01-0,VN-12646,Title V
5900035,Oliver Rubber Company,12/21/00,3011-059-0035-V-01-1,VN-12636,Title V
11700025,Scientific Games International,7/31/02,2754-117-0025-V-01-1,VN-13885,Title V
31300074,Shaw Industries Group Inc Plt 23,10/17/02,2273-313-0074-V-01-1,VN-13874,Title V
20500037,"Balfour Pole Company, LLC",12/17/02,2048-205-0037-V-03-1,,Title V
6300059,Delta Air Lines Inc - Atlanta Station,11/12/03,4582-063-0059-V-01-1,VN-13948,Title V
32100004,Crisp County Power Commission,9/27/04,4911-321-0004-V-02-0,VN-14028,Title V
31300084,Shaw Industries Group Inc Plant 4,4/17/03,2273-313-0084-V-01-2,VN-14019,Title V
12100254,PPG Industries Inc.,9/2/04,2851-121-0254-V-02-1,VN-13998,Title V
9500003,Cooper Tire & Rubber Co Inc,3/11/03,3011-095-0003-V-01-1,VN-14038,Title V
15700014,"Huber Engineered Woods, LLC",8/26/03,2493-157-0014-V-01-4,VN-14036,Title V
30300035,KaMin - Sandersville,1/7/04,3295-303-0035-V-01-1,VN-13374,Title V
1500008,Chemical Products Corporation,3/18/02,2819-015-0008-V-01-2,VN-13451,Title V
29500031,"Crystal Springs Print Works, Inc.",6/3/02,2261-295-0031-V-01-1,VN-13443,Title V
28500082,Milliken & Co Hillside Coating Plant,3/11/02,3069-285-0082-V-01-1,VN-13584,Title V
31300061,Shaw Industries Inc. Plant 2,5/8/02,2273-313-0061-V-01-1,VN-13679,Title V
13900002,Cargill Inc,4/25/03,2075-139-0002-V-01-1,VN-13723,Title V
4500043,Southwire Company - Cofer Technology Center,12/17/02,3357-045-0043-V-01-1,VN-13791,Title V
4500038,Southwire Company Machine Services,12/17/02,3449-045-0038-V-02-1,VN-13790,Title V
4500038,Southwire Company Machine Services,7/31/02,3449-045-0038-V-02-0,VN-13853,Title V
15300033,USAF Robins Air Force Base,8/11/04,9711-153-0033-V-01-2,VN-14419,Title V
15100022,Toppan Interamerica Inc,10/27/04,2754-151-0022-V-02-0,VN-14453,Title V
23300046,ETC of Georgia - Grady Road Landfill,8/11/04,4953-233-0046-V-01-0,VN-14628,Title V
12900049,Shaw Industries Group Inc Plt D6,8/24/04,2273-129-0049-V-02-0,VN-14930,Title V
4500043,Southwire Company - Cofer Technology Center,9/30/04,3357-045-0043-V-01-2,,Title V
12900049,Shaw Industries Group Inc Plt D6,8/25/04,2273-129-0049-V-02-1,VN-14993,Title V
27700061,Chickasha of Georgia,4/14/05,2074-277-0061-V-03-0,VN-14992,Title V
24500002,PCS NITROGEN FERTILIZER L.P.,2/9/05,2873-245-0002-V-01-5,VN-14879,Title V
900035,"Southern Natural Gas Company, L.L.C - Hall Gate Comp. Station",2/20/06,4922-009-0035-V-02-0,VN-14864,Title V
5100046,Gulfstream Aerospace Corporation,5/29/03,3721-051-0046-V-01-1,VN-14198,Title V
13500244,Richland Creek Rd Lfg,11/14/03,4911-135-0244-V-01-0,VN-14247,Title V
8900239,"Bimbo Bakeries USA, Inc.",9/15/04,2051-089-0239-V-02-0,VN-14374,Title V
9900001,Georgia-Pacific Cedar Springs LLC,4/29/04,2631-099-0001-V-01-4,VN-14359,Title V
24500009,"Boral Bricks - Augusta Plants 3, 4, & 5",10/13/04,3251-245-0009-V-02-0,VN-14351,Title V
24500062,Resolute FP Augusta LLC,4/12/04,2621-245-0062-V-02-0,VN-14411,Title V
25500049,Cooper Standard Automotive,2/20/04,3061-255-0049-V-02-1,VN-14410,Title V
9300022,Roseburg Forest Products South LP,8/18/06,2493-093-0022-V-02-0,VN-15650,Title V
1900003,Chaparral Boats Inc,4/7/05,3732-019-0003-v-02-3,VN-15715,Title V
31300001,Shaw Industries Group Inc. Plant 81,9/16/05,2273-313-0001-V-01-2,VN-15742,Title V
5100010,Weyerhaeuser NR Port Wentworth,2/15/05,2611-051-0010-V-01-4,VN-15782,Title V
27100004,Telfair Forest Products LLC,10/24/06,2421-271-0004-V-02-0,VN-15807,Title V
8900120,Marathon Petroleum Company LP - Doraville Terminal,9/11/06,5171-089-0120-V-02-0,VN-15794,Title V
12900028,J. M. Huber Corporation Solem Division - Fairmount Plant,11/15/05,3295-129-0028-V-04-2,VN-15821,Title V
15700015,"Atlantic Wood Pellets Athens, LLC",12/7/06,2493-157-0015-V-02-0,VN-15062,Title V
29300022,"Quad Graphics, Inc.",1/10/05,2752-293-0022-V-02-3,VN-15091,Title V
13500237,Precision Hose Inc,11/15/05,3599-135-0237-V-02-0,VN-15151,Title V
8900085,"Magellan Terminal Holdings, L.P. - Doraville I Terminal",1/30/06,5171-089-0085-V-03-0,VN-15232,Title V
10300004,"Interfor U.S., Inc. - Meldrim",6/14/05,2421-103-0004-V-02-0,VN-15214,Title V
1500011,Ga Power Company - Plant Bowen,10/26/05,4911-015-0011-V-02-0,VN-15305,Title V
8900297,Hickory Ridge MSW Landfill,8/17/05,4953-089-0297-V-02-0,VN-15316,Title V
24700052,"Jet Corr II, Inc.",1/19/05,2679-247-0052-V-01-0,VN-15388,Title V
10300014,GA POWER CO PLT MCINTOSH,8/24/04,4911-103-0014-V-02-0,VN-15373,Title V
8900131,Motiva Enterprises LLC,12/13/04,5171-089-0131-V-01-1,VN-15423,Title V
19700008,Baby's Dream Furniture Inc,2/28/06,2511-197-0008-V-02-0,VN-15499,Title V
10300007,GEORGIA-PACIFIC CONSUMER PRODUCTS LP (SAVANNAH RIVER MILL),7/6/06,2621-103-0007-V-02-1,VN-15491,Title V
18500009,LANGDALE FOREST PRODUCTS CO.,4/11/06,2421-185-0009-V-02-0,VN-15529,Title V
1500011,Ga Power Company - Plant Bowen,2/27/06,4911-015-0011-V-02-1,VN-15554,Title V
17500057,Evans Cabinet Corp,7/6/05,2434-175-0057-V-02-0,VN-15587,Title V
8900005,Centers For Disease Control and Prevention (CDC),1/25/06,9431-089-0005-V-01-2,VN-15583,Title V
24500003,"DSM CHEMICALS NORTH AMERICA, LLC",3/30/05,2869-245-0003-V-03-1,VN-15579,Title V
5100076,"Colonial Terminals, Inc.",1/17/06,5151-051-0076-V-01-5,VN-16170,Title V
2100078,YKK USA Inc Macon,5/15/07,3965-021-0078-V-01-2,VN-16143,Title V
13500239,"AGCO, Inc.",8/10/06,3088-135-0239-V-01-1,VN-16200,Title V
9500003,Cooper Tire & Rubber Co Inc,12/20/05,3011-095-0003-V-02-0,VN-16179,Title V
24500005,Thermal Ceramics,8/17/05,3255-245-0005-V-01-2,VN-16177,Title V
15300033,USAF Robins Air Force Base,4/4/06,9711-153-0033-V-01-4,VN-16230,Title V
2100078,YKK USA Inc Macon,1/11/06,3965-021-0078-V-01-1,VN-16219,Title V
21100013,GEORGIA-PACIFIC WOOD PRODUCTS LLC (MADISON PLYWOOD),6/10/08,2436-211-0013-V-02-2,VN-16268,Title V
14900006,Chattahoochee Energy Facility,4/10/07,4911-149-0006-V-03-0,VN-16266,Title V
8900313,Carlyle Compressor Remanufacturing,1/17/06,3585-089-0313-V-02-0,VN-16256,Title V
15300003,"CEMEX Southeast, LLC",6/23/06,3241-153-0003-V-04-0,VN-16326,Title V
12700003,Brunswick Cellulose Inc,7/14/06,2631-127-0003-V-04-5,VN-16315,Title V
19300013,Weyerhaeuser NR Company - Flint River Operations,5/24/06,2631-193-0013-V-01-4,VN-16313,Title V
29300003,Royal Cord Inc,8/17/05,2293-293-0003-v-03-1,VN-16306,Title V
9500071,Procter & Gamble Paper Products Company,2/21/06,2676-095-0071-V-01-2,VN-16359,Title V
23700127,Horton Components Division,10/18/06,2499-237-0127-V-01-1,VN-16351,Title V
6300105,Delta Air Lines Inc - Technical Operations Center,6/13/06,4512-063-0105-V-01-4,VN-16677,Title V
7700039,Yamaha Motor Manufacturing Corporation,12/28/06,3799-077-0039-V-03-3,VN-16900,Title V
5100058,Vopak Terminal Savannah Inc,10/4/06,4226-051-0058-V-01-3,VN-16908,Title V
1500061,Anheuser-Busch Inc,1/10/07,2082-015-0061-V-02-1,VN-16923,Title V
31300003,Shaw Industries Group Inc. Plant 80,10/18/06,2273-313-0003-V-01-4,VN-16931,Title V
7700010,"Bon L Manufacturing Company, Inc.",3/13/07,3354-077-0010-V-01-1,VN-16937,Title V
2100001,Graphic Packaging Macon Mill,3/10/08,2631-021-0001-V-03-0,VN-16941,Title V
8900079,"Fenner Dunlop (Atlanta), Inc.",11/27/06,3041-089-0079-V-06-0,VN-16435,Title V
21500021,United States Army Maneuver Center of Excellence - Fort Benning,12/20/06,9711-215-0021-V-01-1,VN-16523,Title V
9500095,Dougherty County Fleming/Gaissert Rd MSW Landfill,11/8/06,4953-095-0095-V-02-0,VN-16518,Title V
28500039,"Specialty Fabrics & Converting, Inc.",5/25/06,2299-285-0039-V-01-1,VN-16513,Title V
6700093,Sterigenics U.S. LLC,1/23/06,7389-067-0093-V-03-2,VN-16544,Title V
27500004,Oil-Dri Corporation Of Georgia,3/14/06,3295-275-0004-V-01-2,VN-16575,Title V
5100003,"Southern LNG Company, L.L.C. -Elba Island LNG Terminal - (Kinder Morgan , Inc.)",6/23/06,4922-051-0003-V-02-1,VN-16567,Title V
26100070,C-E Minerals Plant 6,10/17/06,3291-261-0070-V-01-2,VN-16623,Title V
900003,Rheem Manufacturing Co,2/9/05,3585-009-0003-V-01-1,VN-15903,Title V
12100036,ATLANTA UTOY CREEK WPCP,10/5/05,4952-121-0056-V-01-1,VN-15958,Title V
6300083,Atlanta Gas Light Company,8/9/06,4924-063-0083-V-02-0,VN-15950,Title V
31300077,Aladdin Mills - Antioch Road Plant,11/27/06,2273-313-0077-V-02-0,VN-16059,Title V
5100010,Weyerhaeuser NR Port Wentworth,12/28/07,2611-051-0010-V-01-9,VN-17459,Title V
7500001,Blue Sky Biomass Georgia LLC,3/17/08,2493-075-0001-V-03-0,VN-17612,Title V
7100016,"Beadles & Balfour, LLC",2/5/08,2421-071-0016-V-02-0,VN-17628,Title V
15700015,"Atlantic Wood Pellets Athens, LLC",10/10/08,2493-157-0015-V-02-2,VN-17642,Title V
19900004,Georgia-Pacific Wood Products LLC (Warm Springs),9/24/08,2436-199-0004-V-02-2,VN-17649,Title V
5100046,Gulfstream Aerospace Corporation,1/24/08,3721-051-0046-V-02-1,VN-17540,Title V
1700031,Southern Veneer Products,10/10/08,2436-017-0031-V-02-1,VN-17739,Title V
9300022,Roseburg Forest Products South LP,5/12/08,2493-093-0022-V-03-1,VN-17818,Title V
4500008,Southwire Company -Carrollton,6/18/08,3351-045-0008-V-03-0,VN-17004,Title V
14700016,Monroe Automotive Equipment,6/28/07,3714-147-0016-V-02-2,VN-17017,Title V
29900045,"Carolina Skiff, Llc",8/15/07,3732-299-0045-V-05-1,VN-17019,Title V
31900027,"Carbo Ceramics, Inc. - McIntyre Plant",5/12/08,3295-319-0027-V-03-0,VN-17036,Title V
5100046,Gulfstream Aerospace Corporation,6/18/07,3721-051-0046-V-02-0,VN-17065,Title V
30100003,Georgia-Pacific Wood Products LLC (Warrenton),12/20/06,2421-301-0003-V-02-1,VN-17083,Title V
11500021,International Paper Company (Rome Linerboard Mill),2/12/07,2631-115-0021-V-01-7,VN-17116,Title V
30300035,KaMin - Sandersville,9/4/08,3295-303-0035-V-02-0,VN-17121,Title V
31900013,"BASF Corporation, Toddville Plant",3/30/09,3295-319-0013-V-02-0,VN-17158,Title V
8900263,Waste Management Inc/Live Oak Landfill,12/7/07,4953-089-0263-V-02-0,VN-17234,Title V
6700027,Lockheed Martin Aeronautics Company,6/8/07,3721-067-0027-V-06-5,VN-17263,Title V
15700025,Foam Fabricators Inc,4/10/07,3086-157-0025-V-01-1,VN-17270,Title V
18500001,PCA Valdosta Mill,4/18/07,2631-185-0001-V-01-8,VN-17274,Title V
5100012,Epic Savannah North Terminal,2/13/08,2911-051-0012-V-02-2,VN-17278,Title V
4500039,Printpack Inc,10/19/07,2759-045-0039-V-02-1,VN-17312,Title V
3100028,"Claude Howard Lumber Company, Inc.",12/28/07,2421-031-0028-V-02-0,VN-17314,Title V
28500015,Atlas Roofing Corporation,1/24/08,3079-285-0015-V-03-0,VN-17402,Title V
5100149,Hunter Army Airfield,3/4/08,9711-051-0149-V-02-0,VN-17390,Title V
24500003,"DSM CHEMICALS NORTH AMERICA, LLC",10/3/07,2869-245-0003-V-03-5,VN-17426,Title V
24700047,Jet Corr Inc,3/10/08,2679-247-0047-V-03-0,VN-17436,Title V
6900045,"Marine Manufacturing, Inc.",10/31/07,3732-069-0045-V-02-1,VN-17501,Title V
9900001,Georgia-Pacific Cedar Springs LLC,4/8/10,2631-099-0001-V-02-7,VN-18078,Title V
1300005,Johns Manville Corp. Winder Facility,9/16/08,3296-013-0005-V-02-0,VN-18087,Title V
15700034,Dahlberg Combustion Turbine Electric Generating Plant,5/14/10,4911-157-0034-V-04-1,VN-18326,Title V
28500048,Kimberly-Clark Corporation,3/22/10,2297-285-0048-V-03-0,VN-18487,Title V
5100006,Ga Power Company - Plant Kraft,9/18/09,4911-051-0006-V-02-4,VN-18667,Title V
7700001,GA POWER CO. - PLANT YATES,9/17/09,4911-077-0001-V-02-6,VN-18676,Title V
20700008,Ga Power Company - Plant Scherer,9/17/08,4911-207-0008-V-02-3,VN-17878,Title V
5100200,NuStar Asphalt Refining LLC (PMA Plant),4/29/08,2951-051-0200-V-03-0,VN-18086,Title V
16300026,KaMin - Wrens Calcine Plant,9/16/08,3295-163-0026-V-03-0,VN-18155,Title V
11500003,Ga Power Company - Plant Hammond,5/5/09,4911-115-0003-V-02-8,VN-18683,Title V
15700034,Dahlberg Combustion Turbine Electric Generating Plant,11/16/09,4911-157-0034-V-04-2,VN-18689,Title V
14900006,Chattahoochee Energy Facility,9/17/09,4911-149-0006-V-03-2,VN-18697,Title V
13900002,Cargill Inc,5/22/09,2075-139-0002-V-02-1,VN-18769,Title V
28900001,KaMin - Macon Facility,10/7/08,1455-289-0001-V-03-0,VN-17939,Title V
12100070,"WestRock Packaging Systems, LLC",9/17/08,2657-121-0070-V-03-1,VN-18085,Title V
15700034,Dahlberg Combustion Turbine Electric Generating Plant,11/25/08,4911-157-0034-V-04-0,VN-18334,Title V
8900047,GRAPHIC PACKAGING INTERNATIONAL,4/9/09,2657-089-0047-V-04-0,VN-18489,Title V
26900016,Taylor County LFGTE Power Station,4/9/09,4911-269-0016-V-02-0,VN-17933,Title V
4500012,Southwire Company Carrollton Building Wire Plant,12/4/08,3357-045-0012-V-02-2,VN-18423,Title V
29700040,MPC Generating LLC,9/18/09,4911-297-0040-V-07-2,VN-18645,Title V
27500004,Oil-Dri Corporation Of Georgia,9/10/08,3295-275-0004-V-02-1,VN-18266,Title V
5100006,Ga Power Company - Plant Kraft,3/12/09,4911-051-0006-V-02-2,VN-18616,Title V
30100012,Asama Coldwater Manufacturing Georgia,8/20/08,3321-301-0012-V-03-3,VN-18107,Title V
9900001,Georgia-Pacific Cedar Springs LLC,7/23/09,2631-099-0001-V-02-6,VN-18385,Title V
31300054,Trinseo,1/15/10,2822-313-0054-V-03-0,VN-18809,Title V
8900239,"Bimbo Bakeries USA, Inc.",4/8/10,2051-089-0239-V-03-0,VN-18838,Title V
1900003,Chaparral Boats Inc,4/22/10,3732-019-0003-V-03-1,VN-19189,Title V
10300007,GEORGIA-PACIFIC CONSUMER PRODUCTS LP (SAVANNAH RIVER MILL),11/16/09,2621-103-0007-V-03-3,VN-19223,Title V
12900035,Shaw Industries Inc Plt D7,12/8/09,2281-129-0035-V-02-3,VN-19238,Title V
23300046,ETC of Georgia - Grady Road Landfill,11/16/09,4953-233-0046-V-02-0,VN-18798,Title V
9500085,"Southern Natural Gas Company, L.L.C. - Albany Comp. Station",6/22/10,4922-095-0085-V-03-0,VN-19045,Title V
6300105,Delta Air Lines Inc - Technical Operations Center,11/16/09,4512-063-0105-V-02-1,VN-19143,Title V
11500003,Ga Power Company - Plant Hammond,1/25/11,4911-115-0003-V-02-B,VN-19373,Title V
17900011,SNF - Riceboro,6/7/10,2899-179-0011-V-02-1,VN-19488,Title V
1700031,Southern Veneer Products,2/24/11,2436-017-0031-V-03-0,VN-19504,Title V
15300003,"CEMEX Southeast, LLC",1/27/10,3241-153-0003-V-04-3,VN-19425,Title V
31900013,"BASF Corporation, Toddville Plant",5/12/10,3295-319-0013-V-02-1,VN-19576,Title V
10300007,GEORGIA-PACIFIC CONSUMER PRODUCTS LP (SAVANNAH RIVER MILL),6/2/10,2621-103-0007-V-03-6,VN-19601,Title V
9500023,Marine Corps Logistics Base,12/21/10,9711-095-0023-V-02-3,VN-19618,Title V
8900227,INTERNATIONAL PAPER CO.,2/3/11,2751-089-0227-V-04-0,VN-19477,Title V
8100054,Norbord Georgia Inc,3/12/09,2493-081-0054-V-03-1,VN-18800,Title V
27700061,Chickasha of Georgia,2/9/10,2074-277-0061-V-04-0,VN-19009,Title V
18500051,ADM VALDOSTA,12/17/09,2075-185-0051-V-02-1,VN-19012,Title V
13500235,"Quality Investment Properties Suwanee, LLC",1/13/10,7376-135-0235-V-05-2,VN-19024,Title V
24700033,"Tegrant Diversified Brands, Inc.",11/20/09,3086-247-0033-V-03-4,VN-19260,Title V
20700031,Boral Material Technologies - Plant Scherer,3/9/10,5032-207-0031-V-03-0,VN-18818,Title V
14900006,Chattahoochee Energy Facility,6/23/09,4911-149-0006-V-03-1,VN-18867,Title V
5100003,"Southern LNG Company, L.L.C. -Elba Island LNG Terminal - (Kinder Morgan , Inc.)",10/22/09,4922-051-0003-V-03-0,VN-18945,Title V
2100167,Cherokee Brick & Tile Company,2/23/11,3251-021-0167-V-03-0,VN-19359,Title V
8900297,Hickory Ridge MSW Landfill,1/18/11,4953-089-0297-V-03-0,VN-19483,Title V
5100110,"Imperial-Savannah, L.P.",8/5/11,2062-051-0110-V-03-0,VN-19562,Title V
15900004,Georgia-Pacific Wood Products LLC (Monticello Stud Mill),1/19/12,2421-159-0004-V-03-0,VN-20007,Title V
9300022,Roseburg Forest Products South LP,8/13/12,2493-093-0022-V-04-0,VN-20256,Title V
18500108,Advanced Disposal Services Evergreen Landfill,9/27/11,4953-185-0108-V-01-0,VN-20276,Title V
5700036,ATLANTA GAS LIGHT CO.,4/17/12,4924-057-0036-V-03-0,VN-20288,Title V
22900002,Gilman Building Products - Blackshear,5/9/12,2421-229-0002-V-03-0,VN-20021,Title V
29700036,Goodyear Tire & Rubber Company,4/1/11,3061-297-0036-V-07-2,VN-19874,Title V
8900120,Marathon Petroleum Company LP - Doraville Terminal,10/25/10,5171-089-0120-V-02-3,VN-19871,Title V
3300008,Southern Nuclear - Allen B. Wilson Plant,8/30/11,4911-033-0008-V-03-0,VN-19931,Title V
14500002,"Southern Natural Gas Company, L.L.C. - Ellerslie Comp. Station",4/26/12,4922-145-0002-V-03-0,VN-20080,Title V
18500096,"Advanced Disposal Services Pecan Row Landfill, LLC",9/27/11,4953-185-0096-V-02-1,VN-20209,Title V
13900075,"SAPA Extruder, Inc.",8/1/11,3354-139-0075-V-03-1,VN-20337,Title V
17900001,Interstate Paper LLC,9/20/10,2631-179-0001-V-02-1,VN-19720,Title V
11500096,Floyd County Walker Mountain Landfill,4/1/11,4953-115-0096-V-03-0,VN-19896,Title V
2500001,"Varn Wood Products, LLC",9/8/11,2421-025-0001-V-03-0,VN-19900,Title V
5100019,Georgia-Pacific Gypsum LLC - Savannah Plant,10/20/11,3275-051-0019-V-03-0,VN-19907,Title V
300013,Langboard Willacoochee,8/7/12,2493-003-0013-V-05-0,VN-20211,Title V
30300040,AL Sandersville,8/20/10,4911-303-0040-V-05-2,VN-19801,Title V
9500023,Marine Corps Logistics Base,6/8/11,9711-095-0023-V-02-5,VN-20088,Title V
29300022,"Quad Graphics, Inc.",1/19/12,2752-293-0022-V-04-0,VN-20098,Title V
15300033,USAF Robins Air Force Base,11/21/11,9711-153-0033-V-02-4,VN-20387,Title V
21300034,Thomas A. Smith Energy Facility,6/8/11,4911-213-0034-V-06-0,VN-20416,Title V
15700025,Foam Fabricators Inc,5/18/12,3086-157-0025-V-02-0,VN-20417,Title V
5700040,Pine Bluff Landfill,2/15/12,4953-057-0040-V-03-0,VN-20487,Title V
29300025,"Southern Natural Gas Company, L.L.C - Thomaston Comp. Station",4/17/12,4922-293-0025-V-03-0,VN-20103,Title V
12500001,"Thiele Kaolin Company, Reedy Creek",3/28/12,3295-125-0001-V-02-1,VN-20568,Title V
21700033,"General Mills Operations, Inc",4/5/12,2043-217-0033-V-02-1,VN-20901,Title V
2100001,Graphic Packaging Macon Mill,9/11/14,2631-021-0001-V-04-0,VN-21419,Title V
