a,a,a,a,a
241382900,FEDERAL EXPRESS,11101 W Plank Ct,Wauwatosa,Milwaukee
241383120,RYAN INTERNATIONAL AIRLINES,201 Air Cargo Way,Milwaukee,Milwaukee
241384000,BADGER DISPOSAL OF WI INC,5611 W Hemlock St,Milwaukee,Milwaukee
241384440,BARRETT ASBESTOS REMOVAL INC,4841 W Burnham St,Milwaukee,Milwaukee
241387410,COLUMBIA MUSCULOSKELETAL GLENDALE CAMPUS,575 W River Woods Pkwy,Glendale,Milwaukee
241389390,MILWAUKEE PRECISION CASTING CORP,3400 S Nevada St,Milwaukee,Milwaukee
241396100,PRAIRIE MATERIAL - YARD 107,12005 W Hampton Ave,Milwaukee,Milwaukee
241396980,NORTH POINT CLEANERS,1922 E Thomas Ave,Milwaukee,Milwaukee
241398520,MARTIN LUTHER HIGH SCHOOL,5201 S 76th St,Greendale,Milwaukee
241399400,TADYCH FURNITURE,2575 S Greeley St,Milwaukee,Milwaukee
241400390,GROSSMAN BROTHERS INC,1277 S Barclay St,Milwaukee,Milwaukee
241400500,MILWAUKEE COUNTY HOUSE OF CORRECTION,6885 S 68th St,Franklin,Milwaukee
241400940,P&J ABATEMENT INC,3920 E Mallory Ave,Cudahy,Milwaukee
241406000,MOBIL OIL CORP,1432 W Locust St,Milwaukee,Milwaukee
241407540,ONE HOUR NATIONAL DRY CLEANING,6508 S 27th St,Oak Creek,Milwaukee
241408090,MASTER ONE HOUR CLEANERS,5750 W Fond du Lac Ave,Milwaukee,Milwaukee
241409410,AUTOQUIP INC,3861 N 35th St,Milwaukee,Milwaukee
241411170,LAUND-O-RAMA,7527 W Perkins Pl,Milwaukee,Milwaukee
241413810,CENTRAL AQUATICS PLANTS 1 AND 2,9675 S 60th St,Franklin,Milwaukee
241417330,LLOYD'S LAUNDROMAT,4837 N Teutonia Ave,Milwaukee,Milwaukee
241418430,KRACOR INC,5625 W Clinton Ave,Milwaukee,Milwaukee
241428550,CENTRAL AQUATICS - PLANT #2,5401 W Oakwood Park Dr,Franklin,Milwaukee
241435260,KUBIN-NICHOLSON,8440 N 87th St,Milwaukee,Milwaukee
241437680,HOMETOWN INC,6300 S 27th St,Oak Creek,Milwaukee
241440650,CHILDRENS HOSPITAL OF WISCONSIN,9000 W Wisconsin Ave Stop 1,Wauwatosa,Milwaukee
241440760,WISCONSIN THERMOSET MOLDING INC,900 E Vienna Ave,Milwaukee,Milwaukee
241441860,SOUTH MILWAUKEE CITY OF,910 Marshall Ave,South Milwaukee,Milwaukee
241442630,WESTERN BUILDING PRODUCTS INC,1300 Glenview Pl,Wauwatosa,Milwaukee
241443840,TOM'S AMOCO,1570 W Lincoln Ave,Milwaukee,Milwaukee
241445160,ORV'S AUTO SERVICE,4805 W Forest Home Ave,Greenfield,Milwaukee
241449120,RITEWAY BUS SERVICEE,6312 N 60th St,Milwaukee,Milwaukee
241450440,COLUMBIA ST MARY'S INC,2323 N Lake Dr,Milwaukee,Milwaukee
241454290,MCADAMS GRAPHICS INC,7200 S 1st St,Oak Creek,Milwaukee
241454400,MOUNT MARY COLLEGE,2900 N Menomonee River Pkwy # Pk,Milwaukee,Milwaukee
241455500,STEELWIND INDUSTRIES,7550 S 10th St,Oak Creek,Milwaukee
241456490,MANNY'S SELF SERVICE,1831 W National Ave,Milwaukee,Milwaukee
241461770,BAY SHORE MOBIL,5600 N Port Washington Rd,Glendale,Milwaukee
241461880,IMPERIAL LITHOGRAPHING,914 E Hamilton St,Milwaukee,Milwaukee
241462320,SUN'S CLEANERS,5620 S 108th St,Hales Corners,Milwaukee
241462980,SELLARS ABSORBENT MATERIALS INC,6540 N Industrial Rd,Milwaukee,Milwaukee
241463640,EXCLUSIVE METAL FINISHING,4235 North 124th Street,Milwaukee,Waukesha
241465730,CLARK OIL #26,2308 N Teutonia Ave,Milwaukee,Milwaukee
241466610,ONE HOUR MARTINIZING,6801 W Brown Deer Rd,Milwaukee,Milwaukee
241469580,FROEDTERT HOSPITAL,9200 W Wisconsin Ave,Milwaukee,Milwaukee
241470358,MILWAUKEE POLICE DEPT,749 W State St,Milwaukee,Milwaukee
241472220,WEHNER CONSTRUCTION MANAGEMENT LTD,10201 W Lincoln Ave,Milwaukee,Milwaukee
241472770,FRANTZ COMPANY INC,12314 W Silver Spring Dr,Milwaukee,Milwaukee
241473650,INTERNATIONAL THERMAL SYSTEMS,4697 W Greenfield Ave,Milwaukee,Milwaukee
241480910,BRADY U S A INC - GOOD HOPE RD FACILITY,6555 W Good Hope Rd,Milwaukee,Milwaukee
241481020,ENERTRAN WEST MILWAUKEE COGENERATION,43rd St & Lincoln Ave,Milwaukee,Milwaukee
241481570,MILWAUKEE CITY SELF-HELP SITE,1313 W Mount Vernon Ave,Milwaukee,Milwaukee
241484870,LACHAPELLE SERVICE,11510 W Janesville Rd,Hales Corners,Milwaukee
241489050,SPUR STATION #1398,5929 N 76th St,Milwaukee,Milwaukee
241489600,NATIONAL ONE HOUR CLEANERS,7174 South 76th Street,Franklin,Milwaukee
241492240,CLARK #897,2200 N Prospect Ave,Milwaukee,Milwaukee
241514570,ADAMS INDUSTRIES INC,1945 N 30th St,Milwaukee,Milwaukee
241514790,FALK CORP LANDFILL,13th Ave N of Rawson Ave,South Milwaukee,Milwaukee
241516330,MOBIL OIL CORPORATION / DNR STATION # 809,7156 N Green Bay Ave,Glendale,Milwaukee
241525020,ALPHA CLEANER & TAILORS,1924 E Kenilworth Pl,Milwaukee,Milwaukee
241527550,ST LUKES MEDICAL-DUPLICATE OF 241024300,West Dakota Street,Milwaukee,Milwaukee
241530190,HOLMES AUTO INC,1309 West Meinecke Avene,Milwaukee,Milwaukee
241530630,PARKER'S WELDING & MFG INC,6242 N 64th St,Milwaukee,Milwaukee
241536350,ASI DOORS INC,5848 N 95th Ct,Milwaukee,Milwaukee
241537450,UNITED PARCEL SERVICE,6800 S 6th St,Oak Creek,Milwaukee
241540970,MIAN'S OIL COMPANY INC,1707 W Rogers St,Milwaukee,Milwaukee
241565940,DISCOUNT CITGO,405 N 27th St,Milwaukee,Milwaukee
241579910,PHILLIPS 66 #201,4302 East Capitol Drive,Milwaukee,Milwaukee
241583540,OAK CREEK HIGHWAY DEPT,800 W Puetz Rd,Oak Creek,Milwaukee
241587940,SIGNATURE FLIGHT SUPPORT,923 E Layton Ave,Milwaukee,Milwaukee
241595310,KINDER MORGAN - MILWAUKEE BAGGING TERMINAL,1500 S Lincoln Memorial Dr,Milwaukee,Milwaukee
241606640,PHILLIPS 66 #254,2415 E Layton Ave,Cudahy,Milwaukee
241632820,BENKOWSKI BUILDERS,PO Box 40,South Milwaukee,Milwaukee
241636450,BEVERLY ENTERPRISES,5404 West Loomis Road,Greenfield,Milwaukee
241647890,RYDER STUDENT TRANSPORTATION,5253 N Hopkins St,Milwaukee,Milwaukee
241653610,WOODMILL PRODUCTS INC,6822 South 112 Street,Franklin,Milwaukee
241653830,RAPHAEL INDUSTRIES INC,913 W Bruce St,Milwaukee,Milwaukee
241661200,CLEAVER-BROOKS,7800 N 113th St,Milwaukee,Milwaukee
241666040,MARQUETTE LAW EMERGENCY POWER GENERATOR,1215 W. Milwaukee,Milwaukee,Milwaukee
241672090,CARGILL MEAT SOLUTIONS,200 S Emmber Ln,Milwaukee,Milwaukee
241684190,R J LEDERER CO,3033 N 30th St,Milwaukee,Milwaukee
241703110,TANK TRANSPORT INC,9207 N 107th St,Milwaukee,Milwaukee
241709930,XYMOX TECHNOLOGIES INC,9099 W Dean Rd,Milwaukee,Milwaukee
241711360,HOLNAM INC,1304 W Bruce St,Milwaukee,Milwaukee
241711910,ATHEA LABORATORIES INC,480 W Oklahoma Ave,Milwaukee,Milwaukee
241714000,HM GRAPHICS,7840 W Hicks St Stop 2,Milwaukee,Milwaukee
241718620,HOLTON GAS / DNR STATION # 978,2237 N Holton St,Milwaukee,Milwaukee
241723240,BAPTISTAS BAKERY,4625 W Oakwood Park Dr,Franklin,Milwaukee
241723460,MIDWEST TOPS INC,5827 N 95th Ct,Milwaukee,Milwaukee
241729730,CLARK #7,7535 W Bluemound Rd,Milwaukee,Milwaukee
241736660,CITY OF MILWAUKEE - BUILDINGS & FLEET DIVISION,132 N. Sixth St.,Milwaukee,Milwaukee
241737980,LASALLE PRESS INC,326 W Brown St,Milwaukee,Milwaukee
241741720,ALL AMERICAN GRAPHICS,6317 W Greenfield Ave,West Allis,Milwaukee
241741940,KOPFMANN CO INC,3142 W Mill Rd,Milwaukee,Milwaukee
241742160,MATH STARCK & SONS INC,PO Box 37,Hales Corners,Milwaukee
241749090,CLARK #10 / DNR STATION # 875,6028 W Fond du Lac Ave,Milwaukee,Milwaukee
241751950,U S CORRUGATED INC,3832 N 3rd St,Milwaukee,Milwaukee
241755470,DU-MONT WISCONSIN INC,4100 W Lincoln Ave,Milwaukee,Milwaukee
241757340,QUAD/GRAPHICS INC,555 S 108th St,West Allis,Milwaukee
241769110,INTEGRATED MAIL INDUSTRIES LTD,3450 W Hopkins St,Milwaukee,Milwaukee
241770660,PRINCE MINERALS LLC,4039 W Green Tree Rd,Milwaukee,Milwaukee
241778790,NORTHSTAR,4100 W Brown Deer Rd,Milwaukee,Milwaukee
241779450,AURA II INC,8035 W Calumet Rd,Milwaukee,Milwaukee
241783630,LUCAS MILHAUPT INC,2100 E Norse Ave,Cudahy,Milwaukee
241788140,VIBRA-FLIGHT SYSTEMS INC,8331 W Calumet Rd,Milwaukee,Milwaukee
241789350,LAW TANNING CO LLC,1616 W Pierce St,Milwaukee,Milwaukee
241794080,POBLOCKI & SONS INC,922 S 70th St,West Allis,Milwaukee
241795730,BAKER'S MOBIL I,10636 W Bluemound Rd,Wauwatosa,Milwaukee
241795840,AMOCO #10015177,711 E Kilbourn Ave,Milwaukee,Milwaukee
241795950,SUPER AMERICA #4077,3928 W North Ave,Milwaukee,Milwaukee
241796060,TOTAL #2615,5709 W Center St,Milwaukee,Milwaukee
241796170,SPUR GAS STATION,4922 W Villard Ave,Milwaukee,Milwaukee
241796280,TOTAL #2611,11216 W Bluemound Rd,Wauwatosa,Milwaukee
241796390,SPEEDWAY #2018,4944 S Packard Ave,Cudahy,Milwaukee
241796500,SPEEDWAY #2080,2301 10th Ave,South Milwaukee,Milwaukee
241796610,SPEEDWAY #2090,9130 W Oklahoma Ave,West Allis,Milwaukee
241796720,SPEEDWAY #2084,2031 W Ryan Rd,Oak Creek,Milwaukee
241796830,SPEEDWAY #7510,110 W College Ave,Milwaukee,Milwaukee
241796940,VILLARD 76 MART,3709 W Villard Ave,Milwaukee,Milwaukee
241797050,CITGO QUIK MART #30501 / DNR STATION # 404,6204 N Port Washington Rd,Glendale,Milwaukee
241797160,QUICK FUEL,5008 N. 119th Street,Milwaukee,Milwaukee
241797270,QUICK FUEL,9301 N 107th St,Milwaukee,Milwaukee
241797380,QUICK FUEL,6022 W State St,Wauwatosa,Milwaukee
241797490,HOMETOWN INC,2678 S 108th St,West Allis,Milwaukee
241797600,HOMETOWN INC,3908 S 76th St,Milwaukee,Milwaukee
241797820,PHILLIPS 66 #258,6311 S 13th St,Milwaukee,Milwaukee
241797930,LISBON SALES & SERVICES,7515 W Lisbon Ave,Milwaukee,Milwaukee
241798040,AKAL QUIK MART,4811 N Teutonia Ave,Milwaukee,Milwaukee
241798150,SHIRLEY'S MOBIL MART,2620 W Capitol Dr,Milwaukee,Milwaukee
241798260,LOOMIS AUTO WASH,4261 W Loomis Rd,Greenfield,Milwaukee
241798370,A & D MITCHELL PARK SERVICE INC,812 S Layton Blvd,Milwaukee,Milwaukee
241798480,DICK'S MOBIL,12331 W North Ave,Wauwatosa,Milwaukee
241798590,JIFFY STOP / DNR STATION # 753,17201 W Greenfield Ave,New Berlin,Waukesha
241798700,KEN'S SERVICE,5170 N 76th St,Milwaukee,Milwaukee
241798810,MIDAS GAS,4377 S 27th St,Greenfield,Milwaukee
241799030,MOBIL OIL CORP,4803 N Green Bay Ave,Milwaukee,Milwaukee
241799250,BROWN DEER CITGO,9425 W Brown Deer Rd,Milwaukee,Milwaukee
241799360,SPEEDWAY #7780,11006 W Silver Spring Dr,Milwaukee,Milwaukee
241799580,PANTRY 41 (DNR STATION # 854),1030 E North Ave,Milwaukee,Milwaukee
241799690,OS-PEO,3510 N 7th St,Milwaukee,Milwaukee
241799910,JIM'S MOBIL SERVICE,3865 S 76th St,Milwaukee,Milwaukee
241800020,MANNY'S SELF SERV,4045 S. Kinnikinnic,St Francis,Milwaukee
241800130,CLARK #34,608 N 27th St,Milwaukee,Milwaukee
241800240,PANTRY 41,1009 S 1st St,Milwaukee,Milwaukee
241800350,64TH & SILVER SPRING 76 MART,6330 W Silver Spring Dr,Milwaukee,Milwaukee
241803540,GRUNAU COMPANY INC,101 W Pleasant St,Milwaukee,Milwaukee
241805080,LAFARGE NORTH AMERICA,1435 S Carferry Dr,Milwaukee,Milwaukee
241805300,WS PACKAGING - OAK CREEK DIVISION,303 W Marquette Ave,Oak Creek,Milwaukee
241808380,POBLOCKI & SONS INC,11607 W Dearbourn Ave,Wauwatosa,Milwaukee
241812340,BROWN DEER GARAGE,8806 N Deerwood Dr,Brown Deer,Milwaukee
241814650,GREENDALE POLICE DEPT,6600 Schoolway,Greendale,Milwaukee
241818060,KEEFE AVENUE MOBIL,628 W Keefe Ave,Milwaukee,Milwaukee
241818170,FRAN'S SERVICE STATION,5939 W Beloit Rd,West Allis,Milwaukee
241818390,SUPER AMERICA #4455,10001 W Church St,Franklin,Milwaukee
241818500,SUPER AMERICA #4485,1300 W College Ave,Milwaukee,Milwaukee
241818830,MARATHON KWIK MART,9109 W Burleigh St,Milwaukee,Milwaukee
241820480,K P ENTERPRISES,1700 Rawson Ave,South Milwaukee,Milwaukee
241821690,KIRTIDA CORP,5904 W Hampton Ave,Milwaukee,Milwaukee
241821800,ST FRANCIS CITY OF,2125 E Bolivar Ave,St Francis,Milwaukee
241821910,LISBON CITGO / DNR STATION # 999,7110 W Lisbon Ave,Milwaukee,Milwaukee
241824220,AMOCO #15170,5804 W Bluemound Rd,Milwaukee,Milwaukee
241824880,FIRESTONE,9055 N 76th St,Milwaukee,Milwaukee
241825320,HAROLD'S AUTO REPAIR,5190 N Hopkins St,Milwaukee,Milwaukee
241825980,NORM'S SERVICE,4610 W Fond du Lac Ave,Milwaukee,Milwaukee
241826090,ROETTGERS OIL CO,4296 S 76th St,Greenfield,Milwaukee
241826420,SIDHU GAS,4405 N 27th St,Milwaukee,Milwaukee
241826640,SUPER AMERICA #4472,6000 W Layton Ave,Greenfield,Milwaukee
241832360,VILTER MANUFACTURING CORPORATION - CUDAHY,5555 S Packard Ave,Cudahy,Milwaukee
241833240,G & H EQUIPMENT CORP,3250 S Ellen St,Milwaukee,Milwaukee
241833350,DRYCLEAN USA,5309 S 108th St,Hales Corners,Milwaukee
241833460,DRYCLEAN USA (SPIC N SPAN),1434 E Brady St,Milwaukee,Milwaukee
241833570,ONE HOUR NATIONAL DRY CLNG,1000 W National Ave,Milwaukee,Milwaukee
241833680,GARBERS ONE HOUR VALET CLEANERS,3727 N Teutonia Ave,Milwaukee,Milwaukee
241833790,ALPHA CLEANERS,7905 W Layton Ave,Milwaukee,Milwaukee
241833900,BROWN DEER CLEANERS,6512 W Brown Deer Rd,Milwaukee,Milwaukee
241834010,DRYCLEAN USA (SPIC N SPAN),8783 N Port Washington Rd,Milwaukee,Milwaukee
241834120,DRYCLEAN USA (SPIC N SPAN),8155 W Brown Deer Rd,Milwaukee,Milwaukee
241834230,HOFFMAN'S VALET CLEANERS,7215 W Center St,Milwaukee,Milwaukee
241834340,HOFFMAN'S VALET CLEANERS,4433 N Oakland Ave Ste A,Milwaukee,Milwaukee
241834450,HOUSE OF ROTH,7975 N Port Washington Rd,Milwaukee,Milwaukee
241834560,MARIA'S TAILOR SHOP,1417 N Wauwatosa Ave,Milwaukee,Milwaukee
241834670,FABRICARE SPECIALISTS OF WI INC,3707 W Loomis Rd,Greenfield,Milwaukee
241834780,MASTER DRY CLEANING INC,6326 W Bluemound Rd,Wauwatosa,Milwaukee
241834890,MASTER ONE HOUR CLEANERS,8341 W Lisbon Ave,Milwaukee,Milwaukee
241835110,ONE HOUR MARTINIZING,7420 W Greenfield Ave,Milwaukee,Milwaukee
241835440,ONE HOUR MARTINIZING,865 N Mayfair Rd,Milwaukee,Milwaukee
241835550,ONE HOUR REGENCY CLEANERS,5914 N 76th St,Milwaukee,Milwaukee
241835660,ONE HOUR VALET CLEANERS,6854 W Beloit Rd,Milwaukee,Milwaukee
241835880,RAINBOW CLEANERS,2243 S 108th St,Milwaukee,Milwaukee
241835990,VILLAGE VALET,3200 W North Ave,Milwaukee,Milwaukee
241836100,WESTWOOD DRY CLEANERS,8731 W North Ave,Wauwatosa,Milwaukee
241844020,WOODMILL PRODUCTS INC,9563 S 60th St,Franklin,Milwaukee
241845340,SEIDATA'S SERVICE INC,1203 E Oklahoma Ave,Milwaukee,Milwaukee
241845450,S & S GAS,2501 S 13th St,Milwaukee,Milwaukee
241845560,KAL SERVICE/TOSA CITGO,12300 W North Ave,Wauwatosa,Milwaukee
241858100,DYBUL UNOVEN,4570 S Kinnickinnic Ave,Cudahy,Milwaukee
241859090,HOMETOWN INC,1436 E North Ave,Milwaukee,Milwaukee
241859860,BAKER'S MOBIL II,4710 S 108th St,Greenfield,Milwaukee
241867450,LINCOLN AVENUE PUMP,6819 W Lincoln Ave,Milwaukee,Milwaukee
241867890,CLARK #1998,5909 W Good Hope Rd,Milwaukee,Milwaukee
241868220,FLEET MAINTENANCE DIVISION,10320 W Watertown Plank Rd,Wauwatosa,Milwaukee
241868330,GAS N GO #207,2514 N 27th St,Milwaukee,Milwaukee
241868660,JACK'S SERVICE,108 W Howard Ave,Milwaukee,Milwaukee
241868880,GILL'S GAS,1319 W North Ave,Milwaukee,Milwaukee
241869100,UNION 76 STATION,2502 W Wisconsin Ave,Milwaukee,Milwaukee
241870530,GENERAL MITCHELL INTERNATIONAL AIRPORT,5300 S Howell Ave,Milwaukee,Milwaukee
241879000,FOREST HOME MINI MART,1645 W Forest Home Ave,Milwaukee,Milwaukee
241879550,JOY-MARK INC,2121 E Norse Ave,Cudahy,Milwaukee
241881970,KEN'S SHELL LTD ( DNR STATION # 2015),5909 S 27th St,Greenfield,Milwaukee
241885490,SUNSHINE SELF SERVICE,1715 10th Ave,South Milwaukee,Milwaukee
241886260,THE OLD SHEET METAL SHOP INC,2585 S 33rd St,Milwaukee,Milwaukee
241889340,LILY'S CLEANERS,2171 E Rawson Ave,Oak Creek,Milwaukee
241903530,BUZZI UNICEM USA,643 W Canal St,Milwaukee,Milwaukee
241906390,DERCO REPAIR SERVICES INC,8065 W Fairlane Ave,Milwaukee,Milwaukee
241916180,BROWN-WILBERT VAULT CO,3900 S 13th St,Milwaukee,Milwaukee
241919480,GEN MITCHELL FIELD CARGOAIRE,201 Air Cargo Way,Milwaukee,Milwaukee
241924650,INTERSTATE BLASTING & HEAT TREATING,3526 W Elm St,Milwaukee,Milwaukee
241928940,BRIGHT CLEANERS,7249 S 76th St,Franklin,Milwaukee
241932020,VULCAN GLOBAL MANUFACTURING SOLUTION INC,3105 W Mill Rd,Milwaukee,Milwaukee
241954570,FORAN SPICE CO,7616 S 6th St,Oak Creek,Milwaukee
241961720,SENIOR FLEXONICS - GA PRECISION,5215 W Airways Ave,Franklin,Milwaukee
241964140,SANTANA INC/DBS HERITAGE INSTANT PRINTING,1815 S 108th St,West Allis,Milwaukee
241964580,API HEAT TRANSFER,4700 W Ironwood Dr,Franklin,Milwaukee
241967330,IRGENS DEVELOPMENT PARTNERS LLC,10201 W Innovation Dr Ste 600,Milwaukee,Milwaukee
241970000,T J MCQUAY INC,1100 W Bruce St,Milwaukee,Milwaukee
241999780,UNITED MILWAUKEE SCRAP,3232 W Fond du Lac Ave,Milwaukee,Milwaukee
246002680,CEDARBURG WASTEWATER TREATMENT FACILITY,W54n370 Park Ln,Cedarburg,Ozaukee
246003560,CONCORDIA UNIVERSITY,12800 N Lake Shore Dr,Mequon,Ozaukee
246003890,LAKESIDE FOODS INC,705 Main St,Belgium,Ozaukee
246004000,WISCONSIN ELECTRIC POWER COMPANY D/B/A WE ENERGIES-PORT WASHINGTON,146 S Wisconsin St,Port Washington,Ozaukee
246004110,PACE INDUSTRIES EST DIVISION,1600 7th Ave,Grafton,Ozaukee
246004330,ARKEMA SAUKVILLE FACILITY,340 S Railroad St,Saukville,Ozaukee
246004990,KMC STAMPINGS,1221 S Park St,Grafton,Ozaukee
246005320,JOHNSON BRASS & MACHINE FOUNDRY INC,270 N Mill St,Saukville,Ozaukee
246005650,CEDAR VALLEY CHEESE,W3111 Jay Rd,Belgium,Ozaukee
246005760,OZAUKEE COUNTY HIGHWAY DEPT,3601 Lakeland Rd,Saukville,Ozaukee
246006090,WHITE CONSTRUCTION CO,Lakeland Road Plant,Saukville,Ozaukee
246006310,KMC STAMPINGS LLC,1221 S Park St,Port Washington,Ozaukee
246006860,ONE HOUR FABRICARE CLEANERS,W62 N585 Washington Avenue,Cedarburg,Ozaukee
246008290,TRIMEN INDUSTRIES INC,688 W Silver Beach Rd,Belgium,Ozaukee
246008620,MID-CITY FOUNDRY CORP - UNITED DIV,460 9th Ave,Grafton,Ozaukee
246008840,DOERR ELECTRIC CORP,W57 N14371 Doerr Way,Cedarburg,Ozaukee
246008950,BELGIUM FOUNDRY CORP,300 Commerce St,Belgium,Ozaukee
246009060,HEATWOLE FOUNDRY COMPANY INC,309 N Franklin St,Port Washington,Ozaukee
246009720,THERMOSET INC - GRAFTON FACILITY,704 10th Ave,Grafton,Ozaukee
246012690,HARRIS & GALLOB INC,264 Commerce St,Belgium,Ozaukee
246013350,TELSMITH,10910 N Industrial Dr,Mequon,Ozaukee
246020280,RIVER EDGE MOBIL,11209 North Cedarburg Road,Ozaukee,Ozaukee
246020940,RICK'S MEQUON MOBIL,11210 N Port Washington Rd,Mequon,Ozaukee
246021270,HAYES INDUSTRIAL BRAKE,5800 W Donges Bay Rd,Mequon,Ozaukee
246024020,BARES CAR CARE,6099 County Road B,Belgium,Ozaukee
246024900,FIVE PILLARS SUPPER CLUB,Hwy 57 & K,Random Lake,Ozaukee
246034800,AJC INC,W63 N680 N Washington St,Cedarburg,Ozaukee
246038210,CLARK #1211,W61 N505 Washington Street,Cedarburg,Ozaukee
246040190,KAUL MART #3,1604 Wisconsin Ave,Grafton,Ozaukee
246041400,TRI-PAR OIL COMPANY INC,117 W Grand Ave,Port Washington,Ozaukee
246042940,GRAFTON DRY CLEANERS,1229 11th Avenue,Grafton,Ozaukee
246044700,CHARTER STEEL,1658 Cold Springs Rd,Saukville,Ozaukee
246045030,PETERSEN AUTOMOTIVE PRODUCTS CO,409 Wheeler Ave,Fredonia,Ozaukee
246046350,CERMATICS INC,10014 N Wasaukee Rd,Mequon,Ozaukee
246049100,WISCONSIN ELECTRIC POWER COMPANY D/B/A WE ENERGIES - HWY 32 LANDFILL,Highway 32,Grafton,Ozaukee
246051330,MILWAUKEE SIGN CO LLC,2076 First Avenue,Grafton,Ozaukee
246052400,PHILIPP LITHOGRAPHING CO,1960 Wisconsin Ave,Grafton,Ozaukee
246052620,MOLDED DIMENSIONS,701 W Sunset Rd,Port Washington,Ozaukee
246052840,MILWAUKEE MACHINE PRODUCTS CO,10300 N Enterprise Dr,Mequon,Ozaukee
246054490,QUICK STOP SHOPPE,1605 N Wisconsin St,Port Washington,Ozaukee
246059220,CALIBRE INC,1889 County Rd W,Grafton,Ozaukee
246061530,ONE HOUR MARTINIZING,11100 N Port Washington Rd,Mequon,Ozaukee
246061640,SAUKVILLE FABRICARE,144 S Foster Dr,Saukville,Ozaukee
246063070,HARBORVIEW CLEANERS INC,134 E Grand Ave,Port Washington,Ozaukee
246064610,SCOT DIVISON - ARDOX CORP,6337 Western Rd.,Cedarburg,Ozaukee
246064830,KARAK MACHINE CORP,N43W6300 Jackson St,Cedarburg,Ozaukee
246065490,HOMETOWN INC,1706 Wisconsin Ave,Grafton,Ozaukee
246065820,PHILLIPS 66 #208,203 S Main St,Thiensville,Ozaukee
246065930,FREDONIA HARDWARE & MOBIL,W3970 County Road H,Fredonia,Ozaukee
246066040,ONE HOUR FABRICARE CLEANERS,11059 Nl. Port Washington,Mequon,Ozaukee
246066150,KELCH CORPORATION ROTOMOLD DIVISION,W66 N622 Madison Ave,Cedarburg,Ozaukee
246067580,CARLSON TOOL AND MFG CORP,W57 N14386 Doerr Way,Cedarburg,Ozaukee
246068900,KLEEN TEST PRODUCTS (MERIDIAN INDUSTRIES),603 N Moore Rd,Port Washington,Ozaukee
246069890,GENERAL ALUM & CHEMICAL CORP,500 N Progress Dr,Saukville,Ozaukee
246070000,THERMAL PROCESSING CORP,9500 North 105th Street,Milwaukee,Milwaukee
246073080,QUALITY DRYCLEANERS,1209 11th Ave,Grafton,Ozaukee
246073850,JIFFY STOP,108 Highland Dr,Fredonia,Ozaukee
246076050,VEOLIA ES TECHNICAL SOLUTIONS LLC,1275 Mineral Springs Dr,Port Washington,Ozaukee
246076820,CALIBRE INC,651 N Dekora Woods Blvd,Saukville,Ozaukee
246077810,LOGEMANN BROTHERS CO,360 S Tower St,Saukville,Ozaukee
246081660,PACE INDUSTRIES - MOLE CREEK,420 9th Ave,Grafton,Ozaukee
246083750,TOTAL AUTO BODY LLC,1635 N Port Washington Rd,Grafton,Ozaukee
246089470,WESTWOOD CLEANERS,11402 N Port Washington Rd Ste 108,Mequon,Ozaukee
246094090,CLARK #1640,536 W Grand Ave,Port Washington,Ozaukee
246100360,ALLEN EDMONDS SHOE CORP,825 Main St,Belgium,Ozaukee
246104540,TMS INTERNATIONAL LLC,1658 Cold Springs Rd,Saukville,Ozaukee
246105200,LAKEVIEW PROPERTIES LLC,415 W Walters St,Port Washington,Ozaukee
246114880,COLUMBIA ST MARYS - OZAUKEE,13111 N Port Washington Rd,Mequon,Ozaukee
246116860,SCHWARZ PHARMA,5600 W County Line Rd,Mequon,Ozaukee
246118180,A-1 CLEANERS,10000 N Port Washington Rd Stop 3,Mequon,Ozaukee
246124780,LEESON ELECTRIC CORP - SAUKVILLE,350 N Progress Dr,Saukville,Ozaukee
246127640,C F GILCO,1040 9th Ave,Grafton,Ozaukee
246128960,CALIBRE INC -- DAKOTA DR,2395 Dakota Dr,Grafton,Ozaukee
246129070,CLARK STORE #1656,1020 Washington St,Grafton,Ozaukee
246129180,KWIK TRIP #325,10360 N Cedarburg Rd,Mequon,Ozaukee
246131710,SUPER SALES USA INC,W62 N174 Washington Avenue,Cedarburg,Ozaukee
246131820,RETZER SALES & SERVICE,N5372 Cigrand Dr,Waubeka,Ozaukee
246132810,MID CITY MOBIL,827 E Green Bay Ave,Saukville,Ozaukee
246133470,QUALITY DRY CLEANERS,1209 11th Avenue,Grafton,Ozaukee
246137320,TRI-PAR OIL COMPANY INC,1430 W Grand Ave,Port Washington,Ozaukee
246137430,PORT ROAD SERVICE,11319 N Port Washington Rd,Mequon,Ozaukee
246137970,THERMOSET INC,W208 N16974,Jackson,Ozaukee
246139190,JBT CORP,10605 N Baehr Rd,Mequon,Ozaukee
246140070,WEIL PUMP COMPANY INC,W57 N14363 Doerr Way,Cedarburg,Ozaukee
246141390,ROCKWELL AUTOMATION,6400 W Enterprise Dr,Mequon,Ozaukee
246142160,PROMO EDGE MEQUON,5201 W Donges Bay Rd,Mequon,Ozaukee
246146560,CEDARBURG PHARMACEUTICALS LLC,870 Badger Cir,Grafton,Ozaukee
246147330,ALPHA POLYMER TECHNOLOGIES,700 N Progress Dr,Saukville,Ozaukee
246147550,GLANDER METAL INC,1580 Cold Springs Rd,Saukville,Ozaukee
246148540,PRODUCTION FABRICATION INC,2142 Maple Rd,Grafton,Ozaukee
