Souce,Numbers,EPA Start,d,d,d,d
ConocoPhillips Co - Westlake Products Terminal AI 16996,0520-00053-V5,8/4/15,9/17/15,9/18/15,11/16/15,Renewal and Minor Modification
Cornerstone Chemical Company - Urea/Melamine Plant AI 1357,1981-V4,2/17/16,4/1/16,4/2/16,5/31/16,Renewal and Minor Modification
Cornerstone Chemical Company - Utilities Plant/Site Services AI 1357,2306-V4,9/9/15,10/23/15,10/24/15,12/22/15,Renewal
Cox Operating LLC - Eloi Bay Platform # 1 AI 86857,2500-00026-V9,4/1/16,5/15/16,5/16/16,7/14/16,Renewal and Minor Modification
Cox Operating LLC - Quarantine Bay Tank Battery #2 AI 32664,2240-00121-07,,,,,Synthetic Minor Permit PN 6/9/15
DCP Midstream LP - Ada Refrigeration Plant AI 84966,0360-00022-V12,9/24/15,11/7/15,11/8/15,1/6/16,Renewal and Minor Modification
DCP Midstream LP - Sailes #3 Compressor Station AI 31621,0360-00093-V9,3/16/15,4/29/15,4/30/15,6/28/15,Renewal and Minor Modification
"DCP Midstream, LP - Springhill Compressor Station AI 33406",3080-00021-V10,3/12/15,4/25/15,4/26/15,6/24/15,
Discovery Producer Svcs LLC - Dicovery Paradis Gas Processing Plant AI 104090,2520-00090-V4,3/24/16,5/7/16,5/8/16,7/6/16,Renewal and Minor Modification
Dow Chemical Co - Louisiana Operations Railroad Tank Car Cleaning Facility AI ...,2235-V2,3/10/16,4/23/16,4/24/16,6/22/16,Renewal
Dow Chemical Co - Louisiana Operations Glycol II Plant AI 1409,2203-V4,7/23/15,9/5/15,9/6/15,11/4/15,Renewal
Dynamic Industries Inc - Lake Charles Facility AI 43681,0520-00119-V0,3/30/15,5/13/15,5/14/15,7/12/15,Initial Permit
Eagle US 2 LLC - Lake Charles Chemical Complex Greater EDC Unit AI 1255,2350-V5,5/8/15,6/21/15,6/22/15,8/20/15,Renewal and Minor Modification
Eagle US 2 LLC - Lake Charles Chemical Complex Incinerators Area AI 1255,2040-V6,7/10/15,8/23/15,8/24/15,10/22/15,Renewal and Minor Modification
Eagle US 2 LLC - Lake Charles Operations Ethylene Plant AI 1255 *** part of Et...,3136-V0,9/25/15,11/8/15,11/9/15,1/7/16,"Hearing Date 10/29 /15, Initial Permit; also PSD-LA-800 In"
Eagle US 2 LLC - Lake Charles Operations Power & Utilities Plant AI 1255 *** pa...,2106-V6,9/25/15,11/8/15,11/9/15,1/7/16,Major Modification Hearing 10/29/15
Eagle US 2 LLC - Lake Charles Operations TE-2 Unit AI 1255,2695-V6,3/8/16,4/21/16,4/22/16,6/20/16,Renewal
Eagle US 2 LLC - Lake Charles Operations VC Production AI 1255,897-V7,3/8/16,4/21/16,4/22/16,6/20/16,Renewal
Enable Gas Transmission LLC - Perryville Compressor Station AI 32528,2160-00063-V0,4/22/15,6/5/15,6/6/15,8/4/15,"Initial Permit, Same site as AI 44216"
"Enable Gas Transmission, LLC - Delhi Compressor Station AI 32752",2460-00003-V4,3/12/15,4/25/15,4/26/15,6/24/15,
Enable Midstream Partners LP - Magnolia Station AI 166214,2420-00240-V3,7/9/15,8/22/15,8/23/15,10/21/15,Renewal and Minor Modification
"Enable Mississippi River Transmission (EMRT), LLC - Perryville Compressor Stat...",0160-00056-V4,4/22/15,6/5/15,6/6/15,8/4/15,Renewal. Same Site as AI 32528
EnerVest Operating LLC - Fairbanks Compressor Station AI 8250,2160-00059-V2,4/30/15,6/13/15,6/14/15,8/12/15,Renewal and Minor Modification
Enlink Pelican LLC - Pelican Gas Plant AI 25998,2660-00072-V6,4/9/15,5/23/15,5/24/15,7/22/15,Renewal and Major Modification
Entergy Gulf States Louisiana LLC - Calcasieu Plant AI 81859,0520-00219-V5,4/14/15,5/28/15,5/29/15,7/27/15,Major Modification; also PSD-LA-798 Initial permit
Entergy Svcs Inc - Waterford 1&2 Generating Plant AI 83898,2435-V6,2/26/15,4/11/15,4/12/15,6/10/15,Also Acid Rain Permit Renewal 2435-IV4
Enterprise Gas Processing LLC - Burns Point Gas Plant AI 11049,2660-00068-V6,3/18/15,5/1/15,5/2/15,6/30/15,Renewal and Major Modification
ETC Tiger Pipeline LLC - Bienville Compressor Station AI 166494,0360-00753-V2,3/26/15,5/9/15,5/10/15,7/8/15,Renewal and Minor Modification
ETC Tiger Pipeline LLC - Chatham Compressor Station AI 166495,1300-00478-V2,3/25/15,5/8/15,5/9/15,7/7/15,Renewal and Minor Modification
ExxonMobil Chemical Co - Baton Rouge Chemical Plant Halobutyl Production Facili...,2166-V6,4/7/15,5/21/15,5/22/15,7/20/15,Renewal and Major Modification
ExxonMobil Chemical Co - Baton Rouge Chemical Plant Isopropyl Alcohol Unit AI 2...,1924-V6,4/8/16,5/22/16,5/23/16,7/21/16,Renewal
ExxonMobil Chemical Co - Baton Rouge Chemical Plant Maintrain Ethylene Producti...,2031-V10,10/29/15,12/12/15,12/13/15,2/10/16,Renewal and Minor Modification
ExxonMobil Chemical Co - Baton Rouge Chemical Plant Refinery Gas Recovery AI 28...,2361-V4,4/8/16,5/22/16,5/23/16,7/21/16,Renewal and Minor Modification
ExxonMobil Corp - Baton Rouge Marketing Terminal AI 332,0840-00127-V5,9/29/15,11/12/15,11/13/15,1/11/16,Renewal and Modification
ExxonMobil Refining & Supply Co - Baton Rouge Refinery Baton Rouge Complex Lab...,2926-V3,3/14/16,4/27/16,4/28/16,6/26/16,Renewal
ExxonMobil Refining & Supply Co - Exxon Mobile Baton Rouge Refinery Specialties...,2341-V3,2/19/15,4/4/15,4/5/15,6/3/15,
E.I Dupont de Nemours & Co. - Laplace Plant HCl Recovery Unit AI 38806,206-V3,4/29/15,6/12/15,6/13/15,8/11/15,Renewal and Major Modification
Firestone Polymers LLC - Lake Charles Facility AI 1244,0520-00007-V4,4/30/15,6/13/15,6/14/15,8/12/15,Renewal and Major Modification
Florida Gas Transmission Co LLC - Eunice Compressor Station No. 7 AI 3599,0040-00045-V4,3/16/16,4/29/16,4/30/16,6/28/16,Renewal and Minor Modification
Florida Gas Transmission Co LLC - Franklinton Compressor Station No. 9 AI 1721...,3060-00013_V4,5/27/15,7/10/15,7/11/15,9/8/15,Renewal
Formosa Plastics Corp Louisiana - Formosa Plastics VCM Unit AI 288,1004-V2,3/5/15,4/18/15,4/19/15,6/17/15,
Georgia Gulf Lake Charles LLC - VCM Plant AI 4013,0520-00012-V3,12/29/15,2/11/16,2/12/16,4/11/16,Renewal and Minor Modification; hearing set for 1/28/16; orig notice 12/21. corrected 12/29
Graphic Packaging International Inc - WEST MONROE MILL #31 AI 1432,2160-00001-V14,11/12/15,12/26/15,12/27/15,2/24/16,Major Modification; also PSD-LA-797 In
Graphic Packaging International Inc - WEST MONROE MILL #31 AI 1432,2160-00001-V13,7/10/15,8/23/15,8/24/15,10/22/15,Major Modification; also PSD-LA-795(M1) MaM
"Gulf Island Fabrication Inc - East, West, and North Yards AI 9789",2880-00059-V2,9/29/15,11/12/15,11/13/15,1/11/16,Renewal and Major Modification
Gulf South Pipeline Co LP - Arnaudville Compressor Station AI 42059,2600-00029-V4,8/26/15,10/9/15,10/10/15,12/8/15,Renewal and Minor Modification
Gulf South Pipeline Co LP - Koran Compressor Station AI 31656,2351-V6,7/8/15,8/21/15,8/22/15,10/20/15,Renewal and Minor Modification
Gulf South Pipeline Co LP - Marksville Compressor Station AI 31538,0220-00009-V3,2/26/15,4/11/15,4/12/15,6/10/15,
Gulf South Pipeline Co LP - Montpelier Compressor Station AI 71,2540-00003-V3,3/12/15,4/25/15,4/26/15,6/24/15,
Gulf South Pipeline Co LP - Olla Compressor Station AI 8097,1680-00012-V2,2/25/15,4/10/15,4/11/15,6/9/15,
Hexion Inc - Utilities Unit AI 87883,2914-V2,7/30/15,9/12/15,9/13/15,11/11/15,Renewal and Minor Modification
"Hexion Inc,- Formaldehyde G1/G2/G3 & G6 & Methanol Tank Farm AI 92534",2019-V9,5/14/15,6/27/15,6/28/15,8/26/15,Renewal and Minor Modification; formerly Momentive Specialty Chemicals Inc
Hilcorp Energy Co - Washington Central Production Platform AI 18623,2240-00065-04,7/14/15,8/27/15,8/28/15,10/26/15,Convert TV to minor source
"Idaho Timber of Coushatta, LLC , formerly Hood Industries Inc - AI 17306",2420-00009-V5,4/30/15,6/13/15,6/14/15,8/12/15,Major Modification
IESI LA Landfill Corp - Timberlane Landfill AI 52277,0060-00063-V3,1/14/16,2/27/16,2/28/16,4/27/16,Renewal
INEOS Americas LLC - INEOS Oxide Glycol Ethers Plant AI 89237,1838-V5,9/14/15,10/28/15,10/29/15,12/27/15,Renewal and Major Modification
INEOS Americas LLC - INEOS Oxide Polyethylene Glycol Plant AI 89237,2503-V2,12/10/15,1/23/16,1/24/16,3/23/16,Renewal
International Matex Tank Terminals - St Rose Terminal AI 4885,2520-00033-v12,3/24/16,5/7/16,5/8/16,7/6/16,Renewal and Minor Modification; also PSD-LA-736(M-3) MiM
International Paper Co - Red River Mill AI 2645,1980-00004-V6,9/10/15,10/24/15,10/25/15,12/23/15,Major Modification; also LA-PSD-562(M-6) MaM
International Paper Co - Red River Mill AI 2645,1908-00004-V5,2/12/15,3/28/15,3/29/15,5/27/15,
Jefferson Parish - Jefferson Parish Sanitary Landfill AI 6961,1340-00140-V6,5/4/15,6/17/15,6/18/15,8/16/15,Renewal and Minor Modification
JM Smucker Company Folger Coffee Company - Specialty Plant AI 30118,2140-00056-V5,1/8/16,2/21/16,2/22/16,4/21/16,Renewal
Kinder Morgan LA Pipeline LLC - Eunice Compressor Station No. 760 AI 192380,0040-00225-V0,4/30/15,6/13/15,6/14/15,8/12/15,Initial Permit
Kinetica Partners LLC - COMPRESSOR STATION 523 AI 3589,2880-00014-V8,3/10/16,4/23/16,4/24/16,6/22/16,Renewal and Minor Modification
Kinetica Partners LLC - Separation and Dehydration Station 508 AI 8876,2940-00015-V5,8/19/15,10/2/15,10/3/15,12/1/15,Renewal
La Storage LLC - Pelican Compressor Station AI 158683,0560-00268-V1,11/5/15,12/19/15,12/20/15,2/17/16,Initial Permit
"LA Storage, LLC - Ragley Compressor Station AI 128335",0320-00072-V3,3/20/15,5/3/15,5/4/15,7/2/15,Renewal and Minor Modification
"Lake Charles Methanol, LLC - Lake Charles Methanol Facility AI 196978",0520-00492-V0,11/21/15,1/4/16,1/5/16,3/4/16,Initial Permit; also PSD-LA-803 In
LOOP LLC - Port Complex AI 4634,1560-00027-V1,6/17/15,7/31/15,8/1/15,9/29/15,Renewal and Major Modification; also PSD-LA-796 In
Lotte Chemical USA Corp - Monoethylene Glycol Plant AI 195519 *** Part of Ethy...,0520-00488-V0,9/25/15,11/8/15,11/9/15,1/7/16,Initial Permit Hearing 10/29/15; also PSD-LA-9801 In
Louisiana Midstream Gas Services LLC - Converse Central Facility AI 168549,0760-01253-V2,3/17/16,4/30/16,5/1/16,6/29/16,Renewal and Minor Modification
Louisiana Midstream Gas Services LLC - North DeSoto Central Facility AI 16540...,0760-01133-V3,9/10/15,10/24/15,10/25/15,12/23/15,Renewal and Minor Modification
Louisiana Sugarcane Cooperative Inc - La Suca AI 2827,2620-00005-V7,11/4/15,12/18/15,12/19/15,2/16/16,Renewal
Lula Westfield LLC - Westfield Sugar Factory AI 42344,0200-00004-V8,11/12/15,12/26/15,12/27/15,2/24/16,Renewal and Major Modification
M A Patout & Son LTD - Enterprise Sugar Factory AI 1347,1260-00003-V7,3/10/15,4/23/15,4/24/15,6/22/15,
Magnolia LNG LLC - Magnolia LNG AI 185639,0520-00481-V0,12/18/15,1/31/16,2/1/16,3/31/16,Initial Permit; also PSD-LA-792 Initial permit; hearing sched for 1/19/2016
Marathon Petroleum Co LLC - Garyville Refinery AI 3165,2580-00013-V17,11/11/15,12/25/15,12/26/15,2/23/16,Major Modification
Marathon Petroleum Co LLC - Louisiana Refining Division Garyville Refinery AI 3...,2580-00013-V16,7/8/15,8/21/15,8/22/15,10/20/15,Renewal and Minor Modification
Martco LLC - Chopin Mill AI 32484,1980-00027-V13,4/16/15,5/30/15,5/31/15,7/29/15,Renewal and Major Modification
McMoRan Oil & Gas LLC - Bayou Long Mobile ProductionFacility AI 193749,2620-00127-V1,9/30/15,11/13/15,11/14/15,1/12/16,Initial Permit
"Methanex USA, LLC - Geismar Methaol Plant AI 181192",0180-00210-V3,11/26/15,1/9/16,1/10/16,3/9/16,Minor Modification; also PSD-LA-761(M-3) MiM
Mosaic Fertilizer LLC - Faustina Plant AI 2425,2560-0021-V6,1/28/16,3/12/16,3/13/16,5/11/16,Renewal and Modification
Nucor Steel Louisiana - Direct Reduced Iron Facility AI 157847,3086-V4,12/10/15,1/23/16,1/24/16,3/23/16,Renewal and Major Modification
NuStar Logisitics LP - St James Terminal AI 36538,2560-00013-V7,7/22/15,9/4/15,9/5/15,11/3/15,Major Modification
Occidental Chemical Corp - Geismar Plant 4CPE Process Unit AI 3400,3134-V0,11/5/15,12/19/15,12/20/15,2/17/16,Initial Permit
Occidental Chemical Corp - Taft Chlor-Alkali Facility AI 1137,2520-00007-V7,4/30/15,6/13/15,6/14/15,8/12/15,Renewal and Minor Modification
Occidental Chemical Corp - Taft Cogeneration Plant AI 1137,2598-V6,7/30/15,9/12/15,9/13/15,11/11/15,Renewal and Minor Modification; also PSD-LA-633(M-3) MiM 2598-IV3 (MiM); renoticed to include CSAPR requirements
Omega Natchiq Inc - New Iberia Faciloity AI 24729,1260-00085-V2,2/16/15,4/1/15,4/2/15,5/31/15,
Orion Engineered Carbons LLC - Ivanhoe Carbon Black Plant AI 2518,2660-00013-V6,3/5/15,4/18/15,4/19/15,6/17/15,
PCS Nitrogen Fertilizer LP - Agricultural Nitrogren and Phosphate Plant Nitrate...,2240-V9,3/24/16,5/7/16,5/8/16,7/6/16,Major Modification
Perryville Energy Partners - Perryville Power Station AI 85793,2160-00112-V5,11/5/15,12/19/15,12/20/15,2/17/16,Renewal and Minor Modification
Pine Prairie Energy Center LLC - AI 123347,0920-00059-V5,6/18/15,8/1/15,8/2/15,9/30/15,Renewal and Minor Modification
Plantation Pipe Line Co - Baton Rouge Pipewline Breakout Tank Farm and Pumping S...,0840-00052-V3,11/2/15,12/16/15,12/17/15,2/14/16,Renewal and Minor Modification
Raceland Raw Sugar Corp - Raceland Factory AI 1309,1560-00004-V9,3/3/16,4/16/16,4/17/16,6/15/16,Major Modification
Rain CII Carbon LLC - Chamette Terminal Facility AI 84724,2500-00008-V3,4/10/15,5/24/15,5/25/15,7/23/15,Renewal and Minor Modification
Rain CII Carbon LLC - Gramercy Calcining Plant AI 32804,2560-00047-V2,9/2/15,10/16/15,10/17/15,12/15/15,Major Modification
Rain CII Carbon LLC - Norco Calcining Plant AI 44866,2520-00003-V2,7/16/15,8/29/15,8/30/15,10/31/15,Renewal and Minor Modification; also PSD-LA-582(M-4) MiM
Rubicon LLC - Analine complex AI 1468,2261-V7,9/17/15,10/31/15,11/1/15,12/30/15,Renewal and Major Modification
Sabine Pass Joint Venture - Sabine Pass Gas Plant AI 13079,0560-00043-V6,3/19/15,5/2/15,5/3/15,7/1/15,Renewal and Major Mod
Sabine Pass LNG LP - Sabine Pass LNG Terminal AI 119267,0560-00214-V5,3/5/15,4/18/15,4/19/15,6/17/15,Also PSD-LA-703(M5)
Sabine Pipeline Co LLC - Henry Hub North Booster Station AI 84056,2940-00218-V3,3/17/15,4/30/15,5/1/15,6/29/15,Renewal and Minor Modification
Sasol North America Inc - Lake Charles Chemical Complex Linear Alkyl Benene uni...,2894-V5,12/21/15,2/3/16,2/4/16,4/3/16,Renewal and Minor Modification
Shell Chemical LP - East Site - Norco Chemical Plant -East Site Boilers East Un...,2283-V4,4/30/15,6/13/15,6/14/15,8/12/15,Renewal and Minor Modification
"Shell Chemical LP - East Site - Norco Chemical Plant -East Site, Butdiene Recove...",2520-V6,6/4/15,7/18/15,7/19/15,9/16/15,Major Modification
Shell Chemical LP - Giesmar Plant Olefins Unit AI 1136,2669-V7,7/31/15,9/13/15,9/14/15,11/12/15,"Major Modification, new AO4 line"
Shintech Louisiana LLC - Hydrochloric Acid Production Furnace 2 AI 126578,3066-V3,3/12/15,4/25/15,4/26/15,6/24/15,
Shintech Louisiana LLC - Shintech Plaquemine Plant 1 AI 126578,1280-00118-V6,9/24/15,11/7/15,11/8/15,1/6/16,Renewal and Minor Modification
Southern Natural Gas Co - Bear Creek Storage Facility AI 4042,0360-00010-V6,2/26/15,4/11/15,4/12/15,6/10/15,
Southern Natural Gas Co - Franklinton Compressor Station AI 2555,3060-00004-V4,9/9/15,10/23/15,10/24/15,12/22/15,Renewal
Southern Natural Gas Co - White Castle Compressor Station AI 4197,1280-00030-v4,6/4/15,7/18/15,7/19/15,9/16/15,Renewal
Spectra Energy - Larose Compressor Station AI 8940,1560-00022-V3,2/18/15,4/3/15,4/4/15,6/2/15,
Tallulah Gas Storage LLC - Tallulah Central Facility AI 171799,1780-00015-V1,8/6/15,9/19/15,9/20/15,11/18/15,Renewal
"TANA Exploration Company, LLC - Timbalier Bay Production Complex AI 92037",1560-00138-V6,7/13/15,8/26/15,8/27/15,10/25/15,Renewal and Minor Modification
Targa Midstream Svcs LLC - Delta Gathering Station AI 32615,2240-00141-V8,4/30/15,6/13/15,6/14/15,8/12/15,Renewal and Minor Modification
Targa Midstream Svcs LP - Barracuda Gas Plant AI 26857,0560-00004-V5,4/30/15,6/13/15,6/14/15,8/12/15,Renewal and Minor Modification
Targa Midstream Svcs LP - Lowry Gas Plant AI 4768,0560-00044-V9,3/3/16,4/16/16,4/17/16,6/15/16,Renewal and Minor Modification
Targa Midstream Svcs LP - Mako Compressor Station AI 27765,0560-00144-V1,3/19/15,5/2/15,5/3/15,7/1/15,Renewal and Minor Modification
Targa Midstream Svcs LP - Venice Gas Processing Plant AI 17897,2240-00015-V7,3/15/16,4/28/16,4/29/16,6/27/16,Renewal and Major Modification
Tennessee Gas Pipeline Co - Compressor Station 527 AI 2448,2240-00009-V4,12/15/15,1/28/16,1/29/16,3/28/16,Renewal
Tennessee Gas Pipeline Co - Compressor Station 823 AI 25002,1360-00008-V5,4/23/15,6/6/15,6/7/15,8/5/15,Major Modification
Tennessee Gas Pipeline Co LLC - Compressor Station # 834 AI 626,1000-00017-V6,4/1/15,5/15/15,5/16/15,7/14/15,Renewal
Texas Eastern Transmission LP - Grand Chenier Compressor Station AI 9632,0560-00035-V4,8/27/15,10/10/15,10/11/15,12/9/15,Renewal and Minor Modification
Texas Eastern Transmission LP - White Castle Compressor Station AI 7359,1280-00042-V4,7/6/15,8/19/15,8/20/15,10/18/15,Renewal and Minor Modification
Texas Gas Transmission LLC - Eunice Compressor Station AI 4205,0040-00026-V4,4/22/15,6/5/15,6/6/15,8/4/15,Renewal
Texas Gas Transmission LLC - Guthrie Compressor Station AI 44723,2160-00049-V6,4/8/15,5/22/15,5/23/15,7/21/15,Renewal and Minor Modification
Texas Gas Transmission LLC - Mamou Compressor Station AI 32086,0920-00047-V3,5/7/15,6/20/15,6/21/15,8/19/15,Renewal
Texas Gas Transmission LLC - Sharon Compressor Station AI 4924,0620-00024-V3,6/4/15,7/18/15,7/19/15,9/16/15,Renewal
Texas Petroleum Investment Co- Main Pass 69B South Facility AI 26002,2240-00143-03,4/6/15,5/20/15,5/21/15,7/19/15,Major Modification
Texas Petroleum Investment Co - Breton Sound Area Block 20 -21 Field Central Fac...,2240-00075-V7,7/21/15,9/3/15,9/4/15,11/2/15,Renewal and Minor Modification
Texas Petroleum Investment Co - Sweet Lake Facility AI 31794,0560-00070-V6,4/23/15,6/6/15,6/7/15,8/5/15,Renewal and Minor Modification
"TGG Pipeline, LTD - Holly Common Point #3 Compressor Station AI 126516",0760-00214-V6,10/12/15,11/25/15,11/26/15,1/24/16,Renewal and Major Modification
The JM Smucker Company Folger Coffee Company - Gentilly Plant AI 1140,2140-00005-V12,2/3/16,3/18/16,3/19/16,5/17/16,Major Modification
Total Petrochemicals USA Inc - Carville Polystrene Plant AI 5176,1280-00036-V5,11/20/15,1/3/16,1/4/16,3/3/16,Renewal and Minor Modification
Total Petrochemicals USA Inc - Cos-Mar Co - Cos-Mar Styrene Plant AI 1607,1280-00013-V9,7/30/15,9/12/15,9/13/15,11/11/15,Renewal and Minor Modification
Transco - Natural Gas Dehydration and Compressor Station No. 44 AI 7127,0560-00018-V7,3/26/15,5/9/15,5/10/15,7/8/15,Major Modification
Transcontinental Gas Pipe Line Corp - Bayou Black nat Gas Dehy/Cond Stab Hand an...,2880-00034-V3,6/24/15,8/7/15,8/8/15,10/6/15,Renewal and Minor Modification
"Transcontinental Gas Pipe Line Corp, LLC - COMPRESSOR STATION 54 AI 3160",2600-00019-V6,1/25/16,3/9/16,3/10/16,5/8/16,Renewal and Minor Modification
Trinity Marine Products Inc - Port Allen Plant 48 AI 43634,3120-00071-V5,1/4/16,2/17/16,2/18/16,4/17/16,Renewal
Trunkline Gas Co LLC - Compressor Station 203-A AI 191783,052-00486-V0,4/15/16,5/29/16,5/30/16,7/28/16,Initial Permit
Trunkline Gas Co LLC - Longville Compressor Station AI 13028,0320-00025-V4,5/8/15,6/21/15,6/22/15,8/20/15,Renewal and Minor Modification
Trunkline LNG Export LLC - LNG Export Terminal AI 3351,3127-V0,3/18/15,5/1/15,5/2/15,6/30/15,Initial Permit; also PSD-LA-785 In
Union Carbide Corp - St Charles Operations EPARK Plant AI 2083,2446-V4,12/31/15,2/13/16,2/14/16,4/13/16,Major Modification
Union Carbide Corp - St Charles Operations Oxide Plant AI 2083,476-V4,12/3/15,1/16/16,1/17/16,3/16/16,Renewal and Minor Mod
UOP LLC - UOP Shreveport Plant AI 17846,0500-00020-V13,3/2/16,4/15/16,4/16/16,6/14/16,Renewal and Minor Modification
US Army - Joint Rediness Training Center Fort Polk AI 8994,2960-00010-V5,6/10/15,7/24/15,7/25/15,9/22/15,Renewal and Minor Modification
Valero Refining-Meraux L.L.C. - Meraux Refinery AI 1238,2500-00001-V11,2/17/15,4/2/15,4/3/15,6/1/15,LDEQ EDMS Permit Link (copy and paste to access permit document):http://edms.deq.louisiana.gov/app/doc/view.aspx?doc=9633657&ob=yesæThis site exits EPA space
Valero Terminaling and Distribution Company - Meraux Terminal AI 93523,2500-00027-V4,8/7/15,9/20/15,9/21/15,11/19/15,Renewal and Minor Modification
W R Grace & Co - Conn - Lake Charles Facility AI 1251,0520-00001-V13,3/17/15,4/30/15,5/1/15,6/29/15,Major Modification
W R Grace & Co - Conn - Lake Charles Facility AI 1251,0520-00001-V14,8/5/15,9/18/15,9/19/15,11/17/15,Major Modification
West Fraser Inc - Joyce Mill AI 2866,3240-00006-V4,5/6/15,6/19/15,6/20/15,8/18/15,Renewal and Minor Modification
Westlake Styrene LP - STYRENE MONOMER FACILITY AI 18070,0520-00146-V3,8/4/15,9/17/15,9/18/15,11/16/15,Renewal and Minor Modification
